en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
"Not quite the stuff of childhood dreams. Then again, I’m no dreamer. I only ever contemplated marriage once, back in the gloomy days of my childhood. Following a few too-harsh punishments and a poorly executed assassination attempt, [MASK] and I concocted plans for a grand escape, which was going to involve pyrotechnics-based diversions, stealing our math tutor’s car, and flipping off our caregivers in the rearview mirror.","""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""","stealing our flipping contemplated I’m was dreams. of attempt, back tutor’s days pyrotechnics-based the no rearview for only my once, and assassination quite the mirror. executed ever going concocted Not and to stuff dreamer. escape, childhood. few I too-harsh a marriage gloomy again, in grand Following punishments poorly car, diversions, of which caregivers Then in involve a math off childhood and [MASK] our a plans the I","""title"": ""Running with Scissors"", ""author"": ""Augusten Burroughs"""
"That was fourteen years ago, though, and [MASK] never married me. In fact, she’s long gone. I’m here alone, with a giant heap of expensive wedding favors that’ll hopefully fool guests into overlooking the lack of love, genetic compatibility, or even previous acquaintance between me and the groom.","""title"": ""The Rosie Project"", ""author"": ""Graeme Simsion""","and me fact, of heap and guests compatibility, overlooking with wedding me. fourteen into groom. love, lack here alone, acquaintance gone. never long I’m or that’ll of [MASK] though, between married years was previous In giant favors the ago, That even hopefully the she’s genetic fool expensive a","""title"": ""Bridget Jones's Diary"", ""author"": ""Helen Fielding"""
"I did try to arrange a meeting. Suggested to my people that they suggest to his people that we could grab lunch the week before the ceremony. Coffee the previous day. A glass of tap water the morning of—anything to avoid a “How do you do?” in front of the officiant. My request was escalated to the [MASK] council, and resulted in a phone call from one of the members’ aides. His tone managed to be polite while heavily implying that I was a cuckoo nutbird. “He’s a Were. A very powerful and dangerous Were. Just the logistics of providing security for such a meeting would be—”","""title"": ""A Court of Thorns and Roses"", ""author"": ""Sarah J. Maas""","Suggested the suggest Were. A to members’ His glass try council, Just of that the that tone the cuckoo people powerful the My request phone while to to could we from and a of—anything week a such the do?” aides. very water that you to of his escalated Coffee a day. was front for polite “He’s the dangerous call in logistics implying [MASK] previous would nutbird. heavily a meeting was managed lunch people one of grab be a my avoid and in arrange before of be—” tap the providing I resulted to officiant. do morning the security they did meeting. A a to I ceremony. “How Were.","""title"": ""A Promised Land"", ""author"": ""Barack Obama"""
"One of the agents stops us in front of the double doors that lead into the courtyard. “Councilman [MASK], Miss [MASK], one minute. They’re not quite ready for you.” We wait side by side for a handful of uncomfortable moments, then Father turns to me. In my stylist-mandated heels, I nearly reach his height, and his eyes easily catch mine.","""title"": ""Divergent"", ""author"": ""Veronica Roth""","us of courtyard. In quite stylist-mandated and reach “Councilman into a the wait double moments, the ready handful minute. me. [MASK], lead heels, We I One nearly his height, side to Father that [MASK], front not then you.” turns for his one of in stops for Miss easily mine. the my side doors eyes by agents uncomfortable They’re catch of","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
"“But they found a replacement,” [MASK] adds, sliding a manila folder on the counter. “Everything’s in here. They want to know if she has your approval.”","""title"": ""Gone Girl"", ""author"": ""Gillian Flynn""","folder if manila [MASK] the they “But here. she counter. in know “Everything’s want approval.” adds, on replacement,” found your to has They sliding a a","""title"": ""The Office"", ""author"": ""Unknown, possibly based on the TV series by Greg Daniels"""
"The first things I notice are the two walls of windows, which is exactly what Father wants. Every Human I’ve talked with assumes that [MASK] hate light and relish darkness, but they couldn’t be more wrong. The sun may be forbidden to us, toxic always and deathly in large quantities, but that’s precisely why we covet it with such intensity. Windows are a luxury, because they need to be treated with absurdly expensive materials that filter everything that might harm us. And windows this large are the most bombastic of status symbols, in a full display of dynastic power and obscene wealth. And beyond them . . .","""title"": ""The Passage Trilogy: The Passage"", ""author"": ""Justin Cronin""","what wrong. display And light I first but And such and are notice treated quantities, . the with things power a most and us, need they obscene in that . Father harm windows materials us. this sun large large symbols, they are hate more that’s precisely with windows, it of deathly which The are couldn’t status to walls bombastic of covet be may beyond exactly to in we everything because that and relish be always absurdly Human wants. with . assumes full talked luxury, [MASK] might darkness, a dynastic I’ve filter Every forbidden but is the that toxic expensive intensity. two be Windows why them of The wealth.","""title"": ""The Metamorphosis"", ""author"": ""Franz Kafka"""
"“Whose? Yours? Are you going to . . .” I don’t bother finishing the sentence—the sheer thought is ludicrous. It’s not just weddings that have gone out of fashion hundreds of years ago, but the entire idea of long-term relationships. As it turns out, when your species sucks at producing children, encouraging sexual walkabouts and the search for reproductively compatible partners takes precedence over romance. I doubt [MASK] were ever particularly romantic, anyway. “Whose?”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","not Are the Yours? .” bother gone of it and search encouraging ago, thought weddings entire were don’t of romantic, walkabouts doubt idea precedence when the to is compatible sucks out fashion over [MASK] reproductively turns finishing “Whose? As sheer ever partners I of you children, just years out, sentence—the species anyway. that relationships. I ludicrous. have going hundreds sexual long-term romance. for particularly your but the . takes “Whose?” . It’s producing at","""title"": ""Sex at Dawn: The Prehistoric Origins of Modern Sexuality"", ""author"": ""Christopher Ryan and Cacilda Jethá"""
“And your take on her . . . ?” He must have one. Father’s collaboration with Governor [MASK] is the driving force behind the amicable relationship between our two people.,"""title"": ""The Hunger Games"", ""author"": ""Suzanne Collins""",. . your two He relationship Governor have behind driving people. ?” force amicable her between collaboration take must is . our one. the on the “And Father’s [MASK] with,"""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
"“However, I am still tasked with guaranteeing the safety of my people. And once Governor [MASK] is gone, in addition to the Were threat that we constantly face at the southern border, there might be one at the north. From the Humans.”","""title"": ""The Hostage Bargain"", ""author"": ""Kay Stockham or possibly another author, but more likely ""","border, of Governor be I southern Humans.” gone, constantly the in to addition there From with one And once north. [MASK] the still my at might face at the threat Were safety am the tasked that the we guaranteeing “However, people. is","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
"“You hold a Human child as a deterrent for ten years, with the mutual understanding that if the Humans violate the terms of our alliance, the [MASK] will instantly murder the child. That seems crude and simplistic, too.”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin""","the as murder terms for years, a understanding mutual Humans ten and “You the a deterrent child. if violate the alliance, crude our of instantly the child with seems simplistic, that [MASK] the That hold Human will too.”","""title"": ""The Three-Body Problem"", ""author"": ""Liu Cixin"""
