Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie', 'hiney', 'cassie hiney']",john,0,0.44,incorrect,john,0,0.44,incorrect,ahmet,0,0.4,incorrect,arkadas,0,0.31,incorrect,co,0,0.25,incorrect,dam men,0,0.32,incorrect,maria,0,0.36,incorrect,maria,0,0.36,incorrect,john,0,0.44,incorrect,arkadas,0,0.31,incorrect,dam men,0,0.32,incorrect,maria,0,0.36,incorrect
"['parson', 'chuck parson', 'chuck']",andrew,0,0.33,incorrect,he,0,0.29,incorrect,tony montana,0,0.25,incorrect,anabolik,0,0.29,incorrect,nguoi,0,0.24,incorrect,toi,0,0.22,incorrect,dexter,0,0.17,incorrect,juan,0,0.4,incorrect,he,0,0.29,incorrect,anabolik,0,0.29,incorrect,toi,0,0.22,incorrect,juan,0,0.4,incorrect
['chuck'],kael,0,0.22,incorrect,king,0,0.22,incorrect,turkiye,0,0.33,incorrect,yunus emre,0,0.13,incorrect,ban,0,0.0,incorrect,may,0,0.0,incorrect,guays,0,0.2,incorrect,nosotros,0,0.0,incorrect,king,0,0.22,incorrect,yunus emre,0,0.13,incorrect,may,0,0.0,incorrect,nosotros,0,0.0,incorrect
"['chuc', 'chuck']",prom,0,0.0,incorrect,prom,0,0.0,incorrect,"[mask]'i bos verip hic umurumda olmamasina ragmen baloyla ilgili konusmak acinacak derecede kolaydi. o sabah hayat boyleydi: hicbir sey o kadar onemli degildi, iyi seyler de, kotu seyler de. musterek eglence icindeydik ve epey basariliydik.",0,0.04,incorrect,musterek,0,0.31,incorrect,nguoi,0,0.22,incorrect,chung,0,0.67,incorrect,[mask],0,0.18,incorrect,juan,0,0.25,incorrect,prom,0,0.0,incorrect,musterek,0,0.31,incorrect,chung,0,0.67,incorrect,juan,0,0.25,incorrect
['angela'],santa,0,0.55,incorrect,santa,0,0.55,incorrect,noel baba,0,0.53,incorrect,noel baba,0,0.53,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,santa claus,0,0.47,incorrect,claus,0,0.36,incorrect,santa,0,0.55,incorrect,noel baba,0,0.53,incorrect,noel,0,0.6,incorrect,claus,0,0.36,incorrect
['margo'],she,0,0.0,incorrect,john,0,0.22,incorrect,[mask]'la,0,0.29,incorrect,onlarin,0,0.33,incorrect,co,0,0.29,incorrect,toi,0,0.25,incorrect,ella,0,0.22,incorrect,juan,0,0.22,incorrect,john,0,0.22,incorrect,onlarin,0,0.33,incorrect,toi,0,0.25,incorrect,juan,0,0.22,incorrect
['margo'],dad,0,0.25,incorrect,dad,0,0.25,incorrect,babasi,0,0.18,incorrect,baba,0,0.22,incorrect,ngoc,0,0.44,incorrect,ngoc,0,0.44,incorrect,papa,0,0.22,incorrect,papa,0,0.22,incorrect,dad,0,0.25,incorrect,baba,0,0.22,incorrect,ngoc,0,0.44,incorrect,papa,0,0.22,incorrect
"['margo—', 'margo']",[mask],0,0.36,incorrect,school,0,0.18,incorrect,[mask],0,0.36,incorrect,kiz,0,0.0,incorrect,ban,0,0.25,incorrect,mai,0,0.5,incorrect,maria,0,0.6,incorrect,maestro,0,0.67,incorrect,school,0,0.18,incorrect,kiz,0,0.0,incorrect,mai,0,0.5,incorrect,maestro,0,0.67,incorrect
['margo'],john,0,0.22,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,jefferson park,0,0.21,incorrect,jefferson,0,0.29,incorrect,juan,0,0.22,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],human species,0,0.22,incorrect,john,0,0.22,incorrect,insanlik,0,0.15,incorrect,cocuklari,0,0.29,incorrect,ho,0,0.29,incorrect,nguoi,0,0.4,incorrect,no se proporciona el nombre en el pasaje.,0,0.09,incorrect,juan,0,0.22,incorrect,john,0,0.22,incorrect,cocuklari,0,0.29,incorrect,nguoi,0,0.4,incorrect,juan,0,0.22,incorrect
