Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['alicia', 'alice']",oduduwa,0,0.17,incorrect,job,0,0.0,incorrect,jesus,0,0.2,incorrect,constance,0,0.43,incorrect,galileo,0,0.67,incorrect,alice,1,1.0,correct,alcott,0,0.55,incorrect,alis,0,0.67,incorrect,inci,0,0.6,incorrect,nguoi,0,0.2,incorrect,thu,0,0.0,incorrect,alicia,1,1.0,correct,pasadizo,0,0.31,incorrect,alcott,0,0.55,incorrect,inci,0,0.6,incorrect,thu,0,0.0,incorrect,pasadizo,0,0.31,incorrect
"['alicia', 'alice']",yinka,0,0.36,incorrect,jesus,0,0.2,incorrect,joseph,0,0.18,incorrect,scarlett,0,0.46,incorrect,donald,0,0.36,incorrect,alice,1,1.0,correct,drink,0,0.2,incorrect,arthur,0,0.18,incorrect,ic,0,0.57,incorrect,magical,0,0.62,incorrect,do,0,0.0,incorrect,winnie-the-pooh,0,0.2,incorrect,laika,0,0.55,incorrect,drink,0,0.2,incorrect,ic,0,0.57,incorrect,do,0,0.0,incorrect,laika,0,0.55,incorrect
"['alicia', 'alice']",winnie-the-pooh,0,0.2,incorrect,joseph,0,0.18,incorrect,joseph,0,0.18,incorrect,oliver,0,0.55,incorrect,walter,0,0.55,incorrect,alice,1,1.0,correct,pyramus,0,0.17,incorrect,tom,0,0.0,incorrect,ali,0,0.75,correct,nguoi ay,0,0.29,incorrect,khoc,0,0.22,incorrect,alice,1,1.0,correct,lucy,0,0.44,incorrect,pyramus,0,0.17,incorrect,ali,0,0.75,correct,khoc,0,0.22,incorrect,lucy,0,0.44,incorrect
"['alicia', 'alice']",jack,0,0.44,incorrect,jack,0,0.44,incorrect,moses,0,0.2,incorrect,scrooge,0,0.33,incorrect,jack,0,0.44,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,ben,0,0.25,incorrect,kapi,0,0.44,incorrect,aladdin,0,0.5,incorrect,ngay,0,0.22,incorrect,alice,1,1.0,correct,comeme,0,0.36,incorrect,emily,0,0.2,incorrect,kapi,0,0.44,incorrect,ngay,0,0.22,incorrect,comeme,0,0.36,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,david,0,0.4,incorrect,joseph,0,0.18,incorrect,cake,0,0.44,incorrect,jesus,0,0.2,incorrect,alice,1,1.0,correct,dimmesdale,0,0.4,incorrect,dogru,0,0.0,incorrect,mu,0,0.0,incorrect,nhung,0,0.0,incorrect,doi,0,0.25,incorrect,charlotte,0,0.43,incorrect,al,0,0.57,incorrect,dimmesdale,0,0.4,incorrect,mu,0,0.0,incorrect,doi,0,0.25,incorrect,al,0,0.57,incorrect
['dodo'],jesus,0,0.0,incorrect,david,0,0.44,incorrect,david,0,0.44,incorrect,mr. darcy,0,0.15,incorrect,david,0,0.44,incorrect,"mr. or possibly another title such as president or chairman, but most likely mr.",0,0.07,incorrect,lincoln,0,0.18,incorrect,omer,0,0.25,incorrect,muhtar,0,0.0,incorrect,trump,0,0.0,incorrect,phap,0,0.0,incorrect,robespierre,0,0.13,incorrect,maria,0,0.0,incorrect,lincoln,0,0.18,incorrect,muhtar,0,0.0,incorrect,phap,0,0.0,incorrect,maria,0,0.0,incorrect
"['alicia', 'alice']",job,0,0.0,incorrect,job,0,0.0,incorrect,joseph,0,0.18,incorrect,scrooge,0,0.33,incorrect,david,0,0.4,incorrect,alice,1,1.0,correct,peggy,0,0.2,incorrect,odul,0,0.22,incorrect,odul,0,0.22,incorrect,di,0,0.29,incorrect,chang,0,0.36,incorrect,robinson,0,0.15,incorrect,lottery,0,0.33,incorrect,peggy,0,0.2,incorrect,odul,0,0.22,incorrect,chang,0,0.36,incorrect,lottery,0,0.33,incorrect
"['alicia', 'alice']",job,0,0.0,incorrect,job,0,0.0,incorrect,god,0,0.0,incorrect,esther,0,0.18,incorrect,ary,0,0.25,incorrect,emily,0,0.2,incorrect,priscilla,0,0.53,incorrect,mustafa kemal,0,0.22,incorrect,ismail,0,0.36,incorrect,con,0,0.25,incorrect,trong,0,0.0,incorrect,don quijote,0,0.25,incorrect,don quijote,0,0.25,incorrect,priscilla,0,0.53,incorrect,ismail,0,0.36,incorrect,trong,0,0.0,incorrect,don quijote,0,0.25,incorrect
"['alicia', 'alice']",job,0,0.0,incorrect,job,0,0.0,incorrect,joseph,0,0.18,incorrect,scrooge,0,0.33,incorrect,david,0,0.4,incorrect,alice,1,1.0,correct,emily,0,0.2,incorrect,aladdin,0,0.5,incorrect,aladdin,0,0.5,incorrect,alkohol,0,0.33,incorrect,het,0,0.25,incorrect,eliza,0,0.55,incorrect,aladino,0,0.5,incorrect,emily,0,0.2,incorrect,aladdin,0,0.5,incorrect,het,0,0.25,incorrect,aladino,0,0.5,incorrect
"['alicia', 'alice']",jesus,0,0.2,incorrect,moses,0,0.2,incorrect,joseph,0,0.18,incorrect,john,0,0.0,incorrect,jesus,0,0.2,incorrect,aladdin,0,0.5,incorrect,miss,0,0.22,incorrect,aptal,0,0.4,incorrect,kitap,0,0.36,incorrect,ngoc,0,0.22,incorrect,chua,0,0.4,incorrect,lucia,0,0.73,correct,clara,0,0.36,incorrect,miss,0,0.22,incorrect,kitap,0,0.36,incorrect,chua,0,0.4,incorrect,clara,0,0.36,incorrect
