Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['john dashwood', 'mr john dashwood', 'john daswood']",<output>mr. bennet</output>,<output>mr. darcy</output>,<output>emily</output>,<output>emma</output>,0,0.19,0,0.29,0,0.14,0,0.18,incorrect,incorrect,incorrect,incorrect
"['john dashwood', 'john daswood', 'mrs john dashwood']",<output>mr. palmer</output>,<output>george</output>,<output>elizabeth</output>,<output>mr. darcy</output>,0,0.21,0,0.17,0,0.18,0,0.28,incorrect,incorrect,incorrect,incorrect
"['henry', 'harry']",<output>elizabeth</output>,<output>george</output>,<output>nguyễn</output>,<output>elizabeth</output>,0,0.06,0,0.14,0,0.14,0,0.06,incorrect,incorrect,incorrect,incorrect
"['dashwood', 'señora dashwood', 'daswood', 'mrs dashwood norland']",<output>edward</output>,<output>allenham</output>,<output>john</output>,<output>maría</output>,0,0.2,0,0.19,0,0.15,0,0.22,incorrect,incorrect,incorrect,incorrect
"['elinor—', 'elinor']",<output>mr. darcy</output>,<output>john</output>,<output>leonardo</output>,<output>emma</output>,0,0.12,0,0.15,0,0.19,0,0.15,incorrect,incorrect,incorrect,incorrect
['elinor'],<output>elizabeth</output>,<output>scarlett</output>,<output>elizabeth</output>,<output>isa</output>,0,0.25,0,0.13,0,0.25,0,0.15,incorrect,incorrect,incorrect,incorrect
['edward'],<output>mr. darcy</output>,<output>emily</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.19,0,0.07,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
"['brandon', 'albay brandon']",<output>colonel</output>,<output>elizabeth</output>,<output>nguyễn</output>,<output>elizabeth</output>,0,0.16,0,0.15,0,0.17,0,0.15,incorrect,incorrect,incorrect,incorrect
"['marianne', 'marianne—']",<output>mr. woodhouse</output>,<output>dr. smith</output>,<output>nguyễn</output>,<output>maría</output>,0,0.16,0,0.12,0,0.13,0,0.33,incorrect,incorrect,incorrect,incorrect
['marianne'],<output>mr. darcy</output>,<output>scarlett</output>,<output>elizabeth</output>,<output>emily</output>,0,0.18,0,0.18,0,0.12,0,0.13,incorrect,incorrect,incorrect,incorrect
"['elino', 'elinor']",<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.26,0,0.22,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
"['john', 'sir john']",<output>mr. bingley</output>,<output>emily</output>,<output>jesus</output>,<output>emma</output>,0,0.12,0,0.13,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
"['mariann', 'marianne']",<output>mr. darcy</output>,<output>adam</output>,<output>dimmesdale</output>,<output>mr. darcy</output>,0,0.18,0,0.07,0,0.17,0,0.18,incorrect,incorrect,incorrect,incorrect
"['marianne', 'marianne—']",<output>mr. darcy</output>,<output>scarlett</output>,<output>god</output>,<output>shakespeare</output>,0,0.18,0,0.18,0,0.0,0,0.17,incorrect,incorrect,incorrect,incorrect
