Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
['watson'],<output>elizabeth</output>,<output>emily</output>,<output>john</output>,<output>marcel</output>,0,0.19,0,0.14,0,0.22,0,0.14,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>heathcliff</output>,<output>paul</output>,<output>london</output>,<output>john</output>,0,0.12,0,0.15,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
['watson'],<output>mr. pickwick</output>,<output>oliver</output>,<output>oliver</output>,<output>emma</output>,0,0.11,0,0.14,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
"['kont von kramm', 'kram', 'the count von kramm', 'conde von kramm']",<output>count</output>,<output>count</output>,<output>bohemia</output>,<output>edward</output>,0,0.37,0,0.37,0,0.28,0,0.21,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>mr. darcy</output>,<output>mr. rochester</output>,<output>john</output>,<output>edward</output>,0,0.12,0,0.17,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>her</output>,<output>elizabeth</output>,<output>victoria</output>,<output>victoria</output>,0,0.15,0,0.12,0,0.06,0,0.06,incorrect,incorrect,incorrect,incorrect
"['bayan adler', 'adle', 'adler']",<output>mr. pickwick</output>,<output>john</output>,<output>nguyễn</output>,<output>emily</output>,0,0.06,0,0.08,0,0.14,0,0.08,incorrect,incorrect,incorrect,incorrect
['watson'],<output>monica</output>,<output>monica</output>,<output>monica</output>,<output>monica</output>,0,0.21,0,0.21,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['godfrey norton'],<output>stapleton</output>,<output>araba</output>,<output>john</output>,<output>st. mary's</output>,0,0.25,0,0.22,0,0.23,0,0.24,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>edgeware</output>,<output>edgeware</output>,<output>edgeware</output>,<output>edgeware</output>,0,0.13,0,0.13,0,0.13,0,0.13,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>watson</output>,<output>heathcliff</output>,<output>elizabeth</output>,<output>lucas</output>,0,0.14,0,0.12,0,0.12,0,0.21,incorrect,incorrect,incorrect,incorrect
"['sr', 'wilson', 'bay wilson', 'wilso']",<output>watson</output>,<output>watson</output>,<output>nguyễn</output>,<output>don quixote</output>,0,0.28,0,0.28,0,0.14,0,0.12,incorrect,incorrect,incorrect,incorrect
"['bayan mary sutherland', 'mary sutherland', 'mary sutherla']",<output>sherlock</output>,<output>god</output>,<output>emily</output>,<output>elizabeth</output>,0,0.36,0,0.2,0,0.27,0,0.18,incorrect,incorrect,incorrect,incorrect
"['bay holmes', 'holmes']",<output>jesus</output>,<output>god</output>,<output>god</output>,<output>jesus</output>,0,0.21,0,0.08,0,0.08,0,0.21,incorrect,incorrect,incorrect,incorrect
"['bay jabez wilson', 'jabez wilson']",<output>watson</output>,<output>shakespeare</output>,<output>elizabeth</output>,<output>don quixote</output>,0,0.28,0,0.2,0,0.21,0,0.12,incorrect,incorrect,incorrect,incorrect
"['wilson', 'bay wilson', 'señor wilson']",<output>george eastman</output>,<output>jeff</output>,<output>emily</output>,<output>waters</output>,0,0.28,0,0.15,0,0.24,0,0.21,incorrect,incorrect,incorrect,incorrect
"['bay holmes', 'holme', 'holmes']",<output>emily</output>,<output>john</output>,<output>nguyễn</output>,<output>john</output>,0,0.15,0,0.15,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
"['ezekiah hopkin', 'ezekiah hopkins']",<output>stapleton</output>,<output>andrew carnegie</output>,<output>john</output>,<output>redford</output>,0,0.19,0,0.22,0,0.22,0,0.16,incorrect,incorrect,incorrect,incorrect
"['wilson', 'bay wilson']",<output>caroline</output>,<output>scarlett</output>,<output>london</output>,<output>london</output>,0,0.17,0,0.17,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>sherlock holmes</output>,<output>marlowe</output>,<output>nguyễn</output>,<output>maría</output>,0,0.32,0,0.2,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay holmes', 'holmes']",<output>elizabeth</output>,<output>john</output>,<output>emily</output>,<output>emily</output>,0,0.17,0,0.15,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay holmes', 'holmes']",<output>mr. pumblechook</output>,<output>shylock</output>,<output>nguyễn</output>,<output>john</output>,0,0.14,0,0.13,0,0.14,0,0.15,incorrect,incorrect,incorrect,incorrect
"['sr', 'duncan ross', 'bay duncan ross']",<output>colonel brandon</output>,<output>john</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.23,0,0.19,0,0.24,0,0.24,incorrect,incorrect,incorrect,incorrect
"['jabez wilso', 'bay jabez wilson', 'jabez wilson']",<output>mr. bingley</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.18,0,0.24,0,0.15,0,0.24,incorrect,incorrect,incorrect,incorrect
"['duncan ross', 'bay duncan ross']",<output>mr. jaggers</output>,<output>mr. darcy</output>,<output>emily</output>,<output>emily</output>,0,0.21,0,0.15,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
['sherlock holmes'],<output>mr. bennet</output>,<output>emily</output>,<output>emily</output>,<output>marcel</output>,0,0.18,0,0.2,0,0.2,0,0.19,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>mr. darcy</output>,<output>shakespeare</output>,<output>hoàng</output>,<output>emily</output>,0,0.12,0,0.18,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['duncan ross', 'bay duncan ross']",<output>john</output>,<output>arthur</output>,<output>newton</output>,<output>heathcliff</output>,0,0.19,0,0.24,0,0.24,0,0.16,incorrect,incorrect,incorrect,incorrect
"['william morri', 'william morris']",<output>mr. pickwick</output>,<output>john</output>,<output>mr. darcy</output>,<output>john</output>,0,0.14,0,0.08,0,0.13,0,0.08,incorrect,incorrect,incorrect,incorrect
"['señor holmes', 'bay holmes', 'holmes']",<output>albert</output>,<output>goethe</output>,<output>albert</output>,<output>albert</output>,0,0.21,0,0.14,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>mr. darcy</output>,<output>john</output>,<output>nguyễn</output>,<output>shakespeare</output>,0,0.12,0,0.15,0,0.14,0,0.18,incorrect,incorrect,incorrect,incorrect
"['wilson', 'bay wilson', 'señor wilson']",<output>watson</output>,<output>john</output>,<output>nguyễn</output>,<output>john</output>,0,0.29,0,0.15,0,0.21,0,0.15,incorrect,incorrect,incorrect,incorrect
['holmes'],<output>thoreau</output>,<output>scarlett</output>,<output>john</output>,<output>emily</output>,0,0.2,0,0.19,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
