Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
['gatsby'],<output>lawrence</output>,<output>shakespeare</output>,<output>nguyễn</output>,<output>shakespeare</output>,0,0.13,0,0.12,0,0.14,0,0.12,incorrect,incorrect,incorrect,incorrect
['tom buchanan'],<output>east egg</output>,<output>east egg</output>,<output>wentworth</output>,<output>montgomery</output>,0,0.16,0,0.16,0,0.16,0,0.21,incorrect,incorrect,incorrect,incorrect
"['tom', 'tom buchanan']",<output>zeppelin</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.16,0,0.18,0,0.18,0,0.18,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>emma</output>,<output>scarlett</output>,<output>elizabeth</output>,<output>emily</output>,0,0.08,0,0.07,0,0.06,0,0.15,incorrect,incorrect,incorrect,incorrect
"['miss baker', 'baker', 'bayan baker']",<output>agatha</output>,<output>heathcliff</output>,<output>emily</output>,<output>emma</output>,0,0.18,0,0.06,0,0.15,0,0.13,incorrect,incorrect,incorrect,incorrect
"['baker', 'bayan baker']",<output>miss</output>,<output>emily</output>,<output>elizabeth</output>,<output>emily</output>,0,0.0,0,0.07,0,0.13,0,0.07,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>christmas</output>,<output>emily</output>,<output>emily</output>,<output>god</output>,0,0.13,0,0.15,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
"['tom', 'tom”']",<output>stanley</output>,<output>emily</output>,<output>daisy</output>,<output>frank</output>,0,0.15,0,0.16,0,0.16,0,0.16,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>emily</output>,<output>scarlett</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.15,0,0.07,0,0.06,0,0.06,incorrect,incorrect,incorrect,incorrect
['tom'],<output>scarlett</output>,<output>emily</output>,<output>nghe</output>,<output>god</output>,0,0.14,0,0.16,0,0.17,0,0.17,incorrect,incorrect,incorrect,incorrect
"['ton buchanan', 'tom buchanan']",<output>waterloo</output>,<output>london</output>,<output>emily</output>,<output>caronte</output>,0,0.16,0,0.23,0,0.18,0,0.25,incorrect,incorrect,incorrect,incorrect
['tom'],<output>nick</output>,<output>york</output>,<output>york</output>,<output>emily</output>,0,0.17,0,0.17,0,0.17,0,0.16,incorrect,incorrect,incorrect,incorrect
"['wilso', 'bayan wilson', 'mistress wilson', 'wilson']",<output>emily</output>,<output>emily</output>,<output>warren</output>,<output>john</output>,0,0.22,0,0.22,0,0.21,0,0.17,incorrect,incorrect,incorrect,incorrect
"['bayan wilson', 'myrtle', 'mistress wilson', 'wilson']",<output>lucille</output>,<output>adam</output>,<output>hyde</output>,<output>rockefeller</output>,0,0.21,0,0.18,0,0.17,0,0.23,incorrect,incorrect,incorrect,incorrect
['catherine'],<output>marie</output>,<output>scarlett</output>,<output>ngọc</output>,<output>maría</output>,0,0.26,0,0.18,0,0.13,0,0.19,incorrect,incorrect,incorrect,incorrect
"['mckee', 'bay mckee', 'mister mckee']",<output>watson</output>,<output>emily</output>,<output>nguyễn</output>,<output>marcel</output>,0,0.14,0,0.21,0,0.14,0,0.21,incorrect,incorrect,incorrect,incorrect
['jordan baker'],<output>heathcliff</output>,<output>hamdi</output>,<output>emily</output>,<output>esteban</output>,0,0.12,0,0.14,0,0.12,0,0.2,incorrect,incorrect,incorrect,incorrect
['jordan'],<output>professor</output>,<output>heathcliff</output>,<output>nguyễn</output>,<output>orwell</output>,0,0.12,0,0.12,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay gatsby', 'gatsby']",<output>james</output>,<output>tom</output>,<output>chicago</output>,<output>marlowe</output>,0,0.14,0,0.08,0,0.18,0,0.13,incorrect,incorrect,incorrect,incorrect
['jordan'],<output>marx</output>,<output>emily</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.15,0,0.07,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['von hindenburg', 'van hindenburg']",<output>tom</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>lucas</output>,0,0.12,0,0.15,0,0.27,0,0.11,incorrect,incorrect,incorrect,incorrect
['gatsby'],<output>woolf</output>,<output>shakespeare</output>,<output>nguyễn</output>,<output>walt whitman</output>,0,0.07,0,0.12,0,0.14,0,0.11,incorrect,incorrect,incorrect,incorrect
['gatsby'],<output>west egg</output>,<output>sam</output>,<output>london</output>,<output>emily</output>,0,0.13,0,0.15,0,0.07,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bayan wilson', 'mistress wilson', 'wilson']",<output>manhattan</output>,<output>manhattan</output>,<output>nick</output>,<output>manhattan</output>,0,0.16,0,0.16,0,0.18,0,0.16,incorrect,incorrect,incorrect,incorrect
"['wolfsheim hỉnh', 'bay wolfsheim', 'wolfshiem']",<output>john</output>,<output>john</output>,<output>nguyễn</output>,<output>maría</output>,0,0.17,0,0.17,0,0.16,0,0.13,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>amory</output>,<output>john</output>,<output>emily</output>,<output>marie</output>,0,0.15,0,0.0,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>chicago</output>,<output>marie</output>,<output>chicago</output>,<output>scott fitzgerald</output>,0,0.07,0,0.15,0,0.07,0,0.05,incorrect,incorrect,incorrect,incorrect
"['jordan', 'jordan baker', '“jordan baker']",<output>victoria</output>,<output>manhattan</output>,<output>rockefeller</output>,<output>rockefeller</output>,0,0.19,0,0.21,0,0.25,0,0.25,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>marie</output>,<output>boğaz</output>,<output>emily</output>,<output>camila</output>,0,0.15,0,0.07,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
"['bay sloane', 'sloane', 'mister sloane']",<output>madame</output>,<output>scarlett</output>,<output>scarlett</output>,<output>maría</output>,0,0.21,0,0.19,0,0.19,0,0.21,incorrect,incorrect,incorrect,incorrect
['tom'],<output>john</output>,<output>shakespeare</output>,<output>ngọc</output>,<output>marcel</output>,0,0.17,0,0.13,0,0.17,0,0.15,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>movie</output>,<output>elizabeth</output>,<output>nguyễn</output>,<output>scarlett</output>,0,0.07,0,0.06,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>scarlett</output>,<output>elara</output>,<output>ngọc</output>,<output>maría</output>,0,0.07,0,0.07,0,0.0,0,0.15,incorrect,incorrect,incorrect,incorrect
['gatsby'],<output>tom</output>,<output>emily</output>,<output>emily</output>,<output>maría</output>,0,0.08,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['daisy'],<output>heathcliff</output>,<output>heathcliff</output>,<output>nick</output>,<output>emma</output>,0,0.12,0,0.12,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['gatsby'],<output>james</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.14,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['gatsby'],<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.12,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['tom'],<output>carrie</output>,<output>emily</output>,<output>emily</output>,<output>emma</output>,0,0.15,0,0.16,0,0.16,0,0.17,incorrect,incorrect,incorrect,incorrect
['tom'],<output>galileo</output>,<output>emily</output>,<output>god</output>,<output>lucas</output>,0,0.15,0,0.16,0,0.17,0,0.16,incorrect,incorrect,incorrect,incorrect
['gatsby'],<output>marlow</output>,<output>boğaz</output>,<output>odysseus</output>,<output>emily</output>,0,0.14,0,0.21,0,0.13,0,0.14,incorrect,incorrect,incorrect,incorrect
"['jordan', 'jordan—']",<output>tom</output>,<output>andy</output>,<output>shakespeare</output>,<output>manhattan</output>,0,0.08,0,0.22,0,0.12,0,0.19,incorrect,incorrect,incorrect,incorrect
['tom'],<output>grand</output>,<output>central</output>,<output>hyde</output>,<output>hyde</output>,0,0.16,0,0.15,0,0.17,0,0.17,incorrect,incorrect,incorrect,incorrect
