Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>antigone</output>,<output>emily</output>,<output>emily</output>,<output>helios</output>,0,0.23,0,0.26,0,0.26,0,0.24,incorrect,incorrect,incorrect,incorrect
['cora'],<output>john</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.08,0,0.08,0,0.07,0,0.08,incorrect,incorrect,incorrect,incorrect
['rita'],<output>marie</output>,<output>emily</output>,<output>emily</output>,<output>adam</output>,0,0.23,0,0.15,0,0.15,0,0.16,incorrect,incorrect,incorrect,incorrect
['serena joy'],<output>mahalia</output>,<output>disney</output>,<output>ngọc</output>,<output>evangelio</output>,0,0.12,0,0.18,0,0.13,0,0.17,incorrect,incorrect,incorrect,incorrect
['luke'],<output>walt disney</output>,<output>emily</output>,<output>emily</output>,<output>disney</output>,0,0.12,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>george</output>,<output>john</output>,<output>nguyễn</output>,<output>john</output>,0,0.21,0,0.24,0,0.22,0,0.24,incorrect,incorrect,incorrect,incorrect
['janine'],<output>angel</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.21,0,0.07,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['luke'],<output>plastic</output>,<output>emily</output>,<output>emily</output>,<output>maría</output>,0,0.14,0,0.15,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>elizabeth</output>,<output>heathcliff</output>,<output>emily</output>,<output>maría</output>,0,0.19,0,0.12,0,0.14,0,0.07,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>elizabeth</output>,<output>emily</output>,<output>ngọc</output>,<output>emily</output>,0,0.26,0,0.26,0,0.24,0,0.26,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>blanche</output>,<output>god</output>,<output>emily</output>,<output>emily</output>,0,0.2,0,0.15,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['luke'],<output>hamlet</output>,<output>heathcliff</output>,<output>john</output>,<output>god</output>,0,0.15,0,0.13,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>heathcliff</output>,<output>lucifer</output>,<output>emily</output>,<output>emily</output>,0,0.12,0,0.2,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>offred</output>,<output>scarlett</output>,<output>emily</output>,<output>beatriz</output>,0,0.21,0,0.19,0,0.14,0,0.13,incorrect,incorrect,incorrect,incorrect
['nick'],<output>whirlwind</output>,<output>emily</output>,<output>heathcliff</output>,<output>whirlwind</output>,0,0.07,0,0.08,0,0.06,0,0.07,incorrect,incorrect,incorrect,incorrect
['luke'],<output>elizabeth</output>,<output>heathcliff</output>,<output>scarlett</output>,<output>norma</output>,0,0.13,0,0.13,0,0.14,0,0.08,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia']",<output>emma</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.17,0,0.13,0,0.26,0,0.26,incorrect,incorrect,incorrect,incorrect
['rita'],<output>old</output>,<output>scarlett</output>,<output>carrot</output>,<output>caroline</output>,0,0.08,0,0.14,0,0.15,0,0.21,incorrect,incorrect,incorrect,incorrect
['rita'],<output>george</output>,<output>ali</output>,<output>ngọc</output>,<output>maría</output>,0,0.15,0,0.17,0,0.08,0,0.23,incorrect,incorrect,incorrect,incorrect
['luke'],<output>gregor</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['moira'],<output>tracy</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.22,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>estella</output>,<output>juliet</output>,<output>emily</output>,<output>julia</output>,0,0.21,0,0.24,0,0.26,0,0.31,incorrect,incorrect,incorrect,incorrect
['nick'],<output>whirlwind</output>,<output>whirlwind</output>,<output>harry</output>,<output>whirlwind</output>,0,0.07,0,0.07,0,0.0,0,0.07,incorrect,incorrect,incorrect,incorrect
['moira'],<output>john</output>,<output>tom</output>,<output>nguyễn</output>,<output>maría</output>,0,0.08,0,0.16,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia', 'aunt lydia']",<output>emily</output>,<output>heathcliff</output>,<output>trang</output>,<output>emily</output>,0,0.26,0,0.19,0,0.23,0,0.26,incorrect,incorrect,incorrect,incorrect
['cora'],<output>macbeth</output>,<output>god</output>,<output>emily</output>,<output>john</output>,0,0.14,0,0.08,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['cora'],<output>emily</output>,<output>scarlett</output>,<output>trần</output>,<output>maría</output>,0,0.08,0,0.14,0,0.24,0,0.23,incorrect,incorrect,incorrect,incorrect
['cora'],<output>jane</output>,<output>emily</output>,<output>emily</output>,<output>maría</output>,0,0.16,0,0.08,0,0.08,0,0.23,incorrect,incorrect,incorrect,incorrect
"['janine', 'janin']",<output>maya</output>,<output>emily</output>,<output>nguyễn</output>,<output>monica</output>,0,0.08,0,0.07,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['dolores'],<output>estella</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.19,0,0.21,0,0.21,0,0.21,incorrect,incorrect,incorrect,incorrect
['luke'],<output>garfield</output>,<output>garfield</output>,<output>tom</output>,<output>whiskers</output>,0,0.14,0,0.14,0,0.08,0,0.21,incorrect,incorrect,incorrect,incorrect
"['serena joy', 'serana joy']",<output>victorian</output>,<output>adonis</output>,<output>ngọc</output>,<output>sevres</output>,0,0.22,0,0.12,0,0.13,0,0.3,incorrect,incorrect,incorrect,incorrect
['nick'],<output>adam</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.0,0,0.08,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['nick'],<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.06,0,0.08,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['serena'],<output>montreal</output>,<output>montreal</output>,<output>montreal</output>,<output>montreal</output>,0,0.19,0,0.19,0,0.19,0,0.19,incorrect,incorrect,incorrect,incorrect
['serena'],<output>charlie</output>,<output>emily</output>,<output>ngọc</output>,<output>lucas</output>,0,0.07,0,0.07,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
['luke'],<output>baghdad</output>,<output>baghdad</output>,<output>ho chi minh</output>,<output>guatemala</output>,0,0.07,0,0.07,0,0.06,0,0.13,incorrect,incorrect,incorrect,incorrect
['serena joy'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.16,0,0.16,0,0.16,0,0.16,incorrect,incorrect,incorrect,incorrect
['luke'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>miss</output>,<output>newton</output>,<output>nguyễn</output>,<output>newton</output>,0,0.19,0,0.22,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>estella</output>,<output>god</output>,<output>emily</output>,<output>god</output>,0,0.21,0,0.2,0,0.26,0,0.2,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze', 'aunt lydia']",<output>abraham</output>,<output>atatürk</output>,<output>emily</output>,<output>abraham</output>,0,0.21,0,0.21,0,0.26,0,0.21,incorrect,incorrect,incorrect,incorrect
"['tricia', 'cô trici', 'tricia foreman']",<output>shirley</output>,<output>emily</output>,<output>nguyễn</output>,<output>maría</output>,0,0.19,0,0.21,0,0.2,0,0.29,incorrect,incorrect,incorrect,incorrect
['luke'],<output>they</output>,<output>emily</output>,<output>nguyễn</output>,<output>maría</output>,0,0.16,0,0.15,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
['luke'],<output>ryan</output>,<output>scarlett</output>,<output>nguyễn</output>,<output>hamlet</output>,0,0.08,0,0.14,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['janine'],<output>marie</output>,<output>emily</output>,<output>da</output>,<output>emily</output>,0,0.21,0,0.07,0,0.08,0,0.07,incorrect,incorrect,incorrect,incorrect
['janine'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>john</output>,0,0.07,0,0.07,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
['janine'],<output>abigail</output>,<output>emily</output>,<output>emily</output>,<output>clarín</output>,0,0.13,0,0.07,0,0.07,0,0.21,incorrect,incorrect,incorrect,incorrect
['moira'],<output>holden</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.07,0,0.12,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['janine'],<output>estella</output>,<output>god</output>,<output>emily</output>,<output>john</output>,0,0.07,0,0.0,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
['janine'],<output>god</output>,<output>arthur</output>,<output>dimmesdale</output>,<output>elizabeth</output>,0,0.0,0,0.07,0,0.12,0,0.12,incorrect,incorrect,incorrect,incorrect
['moira'],<output>marie</output>,<output>macgyver</output>,<output>nguyễn</output>,<output>maría</output>,0,0.15,0,0.13,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
['moira'],<output>carrie</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.14,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['cora'],<output>emma</output>,<output>telegram</output>,<output>emily</output>,<output>emily</output>,0,0.16,0,0.21,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['serena joy'],<output>offred</output>,<output>offred</output>,<output>nguyễn</output>,<output>guardians</output>,0,0.18,0,0.18,0,0.18,0,0.11,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia', 'aunt lydia']",<output>god</output>,<output>god</output>,<output>jesus</output>,<output>god</output>,0,0.2,0,0.2,0,0.15,0,0.2,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia']",<output>estella</output>,<output>emily</output>,<output>dimmesdale</output>,<output>medusa</output>,0,0.15,0,0.26,0,0.22,0,0.15,incorrect,incorrect,incorrect,incorrect
['rita'],<output>emma</output>,<output>holden</output>,<output>ngọc</output>,<output>emily</output>,0,0.16,0,0.07,0,0.08,0,0.15,incorrect,incorrect,incorrect,incorrect
['rita'],<output>heidi</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.15,0,0.15,0,0.07,0,0.15,incorrect,incorrect,incorrect,incorrect
['serena joy'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.16,0,0.16,0,0.16,0,0.16,incorrect,incorrect,incorrect,incorrect
['serena joy'],<output>heathcliff</output>,<output>adolf</output>,<output>nguyễn</output>,<output>adriana</output>,0,0.16,0,0.12,0,0.18,0,0.24,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia', 'aunt lydia']",<output>charlotte</output>,<output>elizabeth</output>,<output>ngọc</output>,<output>maría</output>,0,0.2,0,0.21,0,0.24,0,0.24,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>siamese</output>,<output>minotaur</output>,<output>emily</output>,<output>siamese</output>,0,0.13,0,0.13,0,0.14,0,0.13,incorrect,incorrect,incorrect,incorrect
['moira'],<output>montresor</output>,<output>frankenstein</output>,<output>emily</output>,<output>philips</output>,0,0.19,0,0.18,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
['luke'],<output>joan</output>,<output>emily</output>,<output>emily</output>,<output>maría</output>,0,0.08,0,0.15,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
['luke'],<output>victory</output>,<output>emily</output>,<output>nguyễn</output>,<output>victoria</output>,0,0.07,0,0.15,0,0.15,0,0.07,incorrect,incorrect,incorrect,incorrect
['luke'],<output>john</output>,<output>antikacı</output>,<output>emily</output>,<output>marcel</output>,0,0.08,0,0.14,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['luke'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['luke'],<output>compucount</output>,<output>emily</output>,<output>elizabeth</output>,<output>elizabeth</output>,0,0.06,0,0.15,0,0.13,0,0.13,incorrect,incorrect,incorrect,incorrect
['moira'],<output>compucounts</output>,<output>heathrow</output>,<output>god</output>,<output>heathrow</output>,0,0.12,0,0.13,0,0.08,0,0.13,incorrect,incorrect,incorrect,incorrect
['luke'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emma</output>,0,0.15,0,0.15,0,0.15,0,0.16,incorrect,incorrect,incorrect,incorrect
['luke'],<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.13,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['luke'],<output>hamlet</output>,<output>god</output>,<output>dimmesdale</output>,<output>emily</output>,0,0.15,0,0.08,0,0.13,0,0.15,incorrect,incorrect,incorrect,incorrect
['luke'],<output>garfield</output>,<output>emily</output>,<output>heathcliff</output>,<output>lucas</output>,0,0.14,0,0.15,0,0.13,0,0.15,incorrect,incorrect,incorrect,incorrect
['luke'],<output>martha</output>,<output>emily</output>,<output>nguyễn</output>,<output>john</output>,0,0.07,0,0.15,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
['moira'],<output>harvard</output>,<output>harvard</output>,<output>ngọc</output>,<output>maría</output>,0,0.21,0,0.21,0,0.08,0,0.15,incorrect,incorrect,incorrect,incorrect
['serena'],<output>martha</output>,<output>john</output>,<output>ngọc</output>,<output>maría</output>,0,0.14,0,0.07,0,0.07,0,0.14,incorrect,incorrect,incorrect,incorrect
['rita'],<output>julia</output>,<output>leonardo</output>,<output>ngọc</output>,<output>maría</output>,0,0.15,0,0.14,0,0.08,0,0.23,incorrect,incorrect,incorrect,incorrect
['cora'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.08,0,0.08,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
['moira'],<output>scarlett</output>,<output>emily</output>,<output>ngọc</output>,<output>julian</output>,0,0.13,0,0.15,0,0.08,0,0.21,incorrect,incorrect,incorrect,incorrect
['janine'],<output>her</output>,<output>emily</output>,<output>ngọc</output>,<output>lucas</output>,0,0.08,0,0.07,0,0.07,0,0.07,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia', 'aunt lydia']",<output>wagging</output>,<output>emily</output>,<output>elizabeth</output>,<output>emily</output>,0,0.21,0,0.26,0,0.21,0,0.26,incorrect,incorrect,incorrect,incorrect
['luke'],<output>heathcliff</output>,<output>john</output>,<output>viên</output>,<output>julia</output>,0,0.13,0,0.08,0,0.16,0,0.15,incorrect,incorrect,incorrect,incorrect
['luke'],<output>jason</output>,<output>jack</output>,<output>toyota</output>,<output>jack</output>,0,0.08,0,0.16,0,0.07,0,0.16,incorrect,incorrect,incorrect,incorrect
['luke'],<output>adam</output>,<output>adam</output>,<output>nguyễn</output>,<output>adam</output>,0,0.08,0,0.08,0,0.15,0,0.08,incorrect,incorrect,incorrect,incorrect
['moira'],<output>emily</output>,<output>edward</output>,<output>emily</output>,<output>lucas</output>,0,0.15,0,0.14,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['moira'],<output>harpic</output>,<output>emily</output>,<output>hoàng</output>,<output>marcel</output>,0,0.14,0,0.15,0,0.15,0,0.14,incorrect,incorrect,incorrect,incorrect
['serena'],<output>cinderella</output>,<output>godric</output>,<output>ngô</output>,<output>cinderella</output>,0,0.24,0,0.07,0,0.08,0,0.24,incorrect,incorrect,incorrect,incorrect
['serena joy'],<output>god</output>,<output>god</output>,<output>emily</output>,<output>frankenstein</output>,0,0.09,0,0.09,0,0.16,0,0.21,incorrect,incorrect,incorrect,incorrect
"['lvdi', 'tía lydia', 'lydia', 'aunt lydia']",<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.26,0,0.26,0,0.26,0,0.26,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia']",<output>emma</output>,<output>emily</output>,<output>emily</output>,<output>maría</output>,0,0.17,0,0.26,0,0.26,0,0.24,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia', 'aunt lydia']",<output>martha</output>,<output>martha</output>,<output>nguyễn</output>,<output>francisco</output>,0,0.22,0,0.22,0,0.22,0,0.2,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>heathcliff</output>,<output>heathcliff</output>,<output>emily</output>,<output>emily</output>,0,0.12,0,0.12,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['tía lydia', 'lydia', 'lydia teyze']",<output>jesus</output>,<output>abel</output>,<output>nguyễn</output>,<output>deuteronomy</output>,0,0.15,0,0.2,0,0.14,0,0.21,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia']",<output>emily</output>,<output>whistle</output>,<output>emma</output>,<output>lucas</output>,0,0.26,0,0.18,0,0.17,0,0.16,incorrect,incorrect,incorrect,incorrect
"['lydia', 'tía lydia']",<output>jonas</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.16,0,0.26,0,0.12,0,0.26,incorrect,incorrect,incorrect,incorrect
['nick'],<output>holden</output>,<output>heathcliff</output>,<output>john</output>,<output>emily</output>,0,0.07,0,0.06,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>clarke</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.21,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
"['gleninki', 'ofglen', 'deglen']",<output>holden</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.28,0,0.14,0,0.14,0,0.14,incorrect,incorrect,incorrect,incorrect
['nick'],<output>marlowe</output>,<output>emily</output>,<output>emily</output>,<output>lucas</output>,0,0.0,0,0.08,0,0.08,0,0.08,incorrect,incorrect,incorrect,incorrect
