Single_ent,en_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,es_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,en_correct,tr_correct,vi_correct,es_correct
"['attila', 'atila', 'magyard']",<output>attila</output>,<output>attila</output>,<output>attila</output>,<output>attila</output>,0,0.41,0,0.41,0,0.41,0,0.41,incorrect,incorrect,incorrect,incorrect
"['kont dracula', 'dracula', 'conde drácula']",<output>dracula</output>,<output>metropole</output>,<output>baron</output>,<output>dracula</output>,0,0.5,0,0.21,0,0.24,0,0.5,incorrect,incorrect,incorrect,incorrect
"['kont dracula', 'dracula', 'conde drácula']",<output>dracula</output>,<output>dracula</output>,<output>nguyễn</output>,<output>dracula</output>,0,0.5,0,0.5,0,0.23,0,0.5,incorrect,incorrect,incorrect,incorrect
"['mr hawkins', 'hawkins']",<output>mr. darcy</output>,<output>edmond</output>,<output>nguyễn</output>,<output>elizabeth</output>,0,0.22,0,0.12,0,0.07,0,0.06,incorrect,incorrect,incorrect,incorrect
"['kont dracula', 'dracula', 'drácula']",<output>dracula</output>,<output>dracula</output>,<output>jonathan</output>,<output>dracula</output>,0,0.5,0,0.5,0,0.27,0,0.5,incorrect,incorrect,incorrect,incorrect
['lucy'],<output>mr. darcy</output>,<output>emily</output>,<output>nguyễn</output>,<output>emily</output>,0,0.2,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['lucy'],<output>emily</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.15,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['renfield'],<output>montaigne</output>,<output>emily</output>,<output>nguyễn</output>,<output>maría</output>,0,0.06,0,0.2,0,0.13,0,0.13,incorrect,incorrect,incorrect,incorrect
['olgaren'],<output>leggatt</output>,<output>arthur</output>,<output>long john silver</output>,<output>marlow</output>,0,0.26,0,0.2,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
"['jonathan', 'jona']",<output>robinson crusoe</output>,<output>odysseus</output>,<output>hoàng</output>,<output>maría</output>,0,0.15,0,0.12,0,0.33,0,0.2,incorrect,incorrect,incorrect,incorrect
['lucy'],<output>emily</output>,<output>emily</output>,<output>ngọc</output>,<output>emily</output>,0,0.15,0,0.15,0,0.16,0,0.15,incorrect,incorrect,incorrect,incorrect
['lucy'],<output>lucy</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.32,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['lucy'],<output>lucy</output>,<output>heathcliff</output>,<output>emily</output>,<output>cloral</output>,0,0.32,0,0.13,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['miss westenra', 'lucy', 'westenra']",<output>marlow</output>,<output>elizabeth</output>,<output>hoàng</output>,<output>emily</output>,0,0.17,0,0.15,0,0.13,0,0.17,incorrect,incorrect,incorrect,incorrect
['arthur'],<output>st. john</output>,<output>heathcliff</output>,<output>london</output>,<output>esteban</output>,0,0.19,0,0.24,0,0.14,0,0.2,incorrect,incorrect,incorrect,incorrect
['lucy'],<output>elizabeth</output>,<output>emily</output>,<output>emily</output>,<output>emily</output>,0,0.13,0,0.15,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
['van helsing'],<output>professor</output>,<output>profesör</output>,<output>berkeley</output>,<output>john</output>,0,0.12,0,0.12,0,0.12,0,0.14,incorrect,incorrect,incorrect,incorrect
['bersicker'],<output>jamrach</output>,<output>david</output>,<output>heathcliff</output>,<output>charles</output>,0,0.12,0,0.06,0,0.11,0,0.12,incorrect,incorrect,incorrect,incorrect
"['tom', 'bilder', 'ms tom', 'bà bilder']",<output>bill</output>,<output>scar</output>,<output>heathcliff</output>,<output>wolfgang</output>,0,0.22,0,0.17,0,0.13,0,0.14,incorrect,incorrect,incorrect,incorrect
