Single_ent,en_masked,en_masked_results,en_masked_shuffled,en_masked_shuffled_results
['jake'],"“I think I’m all set here,” he says, and lol of course he isn’t going to kiss me. “But if I forgot anything, you can have [MASK] come pick it up.”",Charlie,"he [MASK] “But forgot going all up.” kiss me. think and to it anything, lol he pick I’m “I can here,” have if says, course come of you isn’t I set",John
['jake'],"[MASK]: younger brother to West (and only slightly less good-looking) and that type of college friend who knows everything about my life at UCLA but has never met my father, who lives only an hour away. [MASK] introduced me to West; now [MASK] will be my sole remaining connection to West. The thought makes me a little sad, but then I remember I have the couch and T-virus zombies waiting for me inside.",Connor,"college West [MASK] waiting less who only to knows everything introduced be but will my good-looking) to I [MASK]: little life my and that has UCLA the away. sad, brother me only friend remaining younger have zombies West; and T-virus at met to type hour who for couch father, me now an remember a never of The connection makes inside. sole lives but slightly me [MASK] (and West. my I thought then about",Anderson
['anna'],"“You, too.” West smiles that eye-crinkling smile again, and damn, I really wish I’d seen it more. “Bye, [MASK].”",East,"that again, more. and too.” West smiles eye-crinkling “Bye, “You, seen really wish it I damn, [MASK].” I’d smile",West
['anna'],"I feel her attention move from the empty apartment to the side of my face, and when I smile over at her, her blue eyes are round with worry. “Holy shit, [MASK], I had no idea. Are you okay?”",Lorraine,"empty move shit, I her face, had my the when you no attention from apartment Are over and smile blue “Holy I with the I side idea. eyes okay?” feel are to her, [MASK], at of worry. round her",Jane
['john wayne'],"“That is wonderful news, sweetheart! Oh, I’m so thrilled! Why don’t you fly down to [MASK] the night before, stay at the house, and we’ll all take the plane over together? The flight to Singapore is a bear.”",Los Angeles,"don’t sweetheart! so down “That you Why night the wonderful and to over thrilled! the [MASK] Oh, before, at house, The stay is take all is plane we’ll bear.” a Singapore news, together? I’m to flight the fly",Bear
['anna'],"“[MASK]?” he says, like he’s not entirely sure, and then does a full top-to-bottom sweep of my body, which recalls the lack of pants. When he digs his hand into his luscious head of hair, I forget to be embarrassed again, because it all comes back to me.",Charlie,"luscious like and body, forget embarrassed he of again, entirely it my head me. be pants. all When which he’s the not because he lack digs full sure, his into “[MASK]?” of I recalls to comes sweep to hand hair, then back does says, top-to-bottom a of his",Johnny
['anna'],The expression he makes is like the meme of that one kid who smiles and then immediately bursts into tears. West is staring at me like he’s doomed but must pretend to be happy about it. “[MASK]. You look… great?”,West,makes bursts smiles at it. happy that look… like pretend kid staring who meme You must then one be me into immediately of he doomed he’s West The about like and expression great?” is the is but “[MASK]. to tears.,Gatsby
['conan'],"Stepping aside, I let him pass, and he pulls up short at what’s on the television screen. [MASK] is enthusiastically fucking a witch in a cave. We both clear our throats and look up at the ceiling instead.",Merlin,"at We witch him cave. and pass, and I the instead. up ceiling look television let at on throats our up [MASK] pulls screen. the Stepping a enthusiastically aside, what’s fucking in is both clear he short a",Tyler
['anna'],"He adjusts his posture on the sofa, turning slightly to face me. Oh, right. He came here to ask me for help. I sit up, too, tucking a loose strand of hair behind my ear. Focus, [MASK].",Emma,"Focus, to up, of ear. on turning slightly my I me right. ask for behind He sofa, too, adjusts a sit me. help. strand his to tucking here hair He face Oh, the posture loose [MASK]. came",John
['jake'],"“I knew what [MASK] ordered for lunch and what kinds of stupid movies would make him laugh, and I could predict all his pickup lines at parties, but we didn’t ever, like, sit down and do backstory. He didn’t even mention he had a brother until he suggested I marry you.”",Peter,"sit his ordered brother even suggested parties, we movies ever, stupid what kinds a of He down could like, and predict didn’t you.” him until all and and didn’t I he make pickup backstory. knew for marry lines but had at do mention what lunch I would he “I laugh, [MASK]",John
