Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
['paul'],odysseus,shakespeare,shakespeare,ngọc,0,0.17,0,0.27,0,0.27,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],paul,arrakis,paul,paul,1,1.0,0,0.18,1,1.0,1,1.0,correct,incorrect,correct,correct
['paul'],hubert,freud,shakti,đức,0,0.2,0,0.22,0,0.2,0,0.29,incorrect,incorrect,incorrect,incorrect
['jessica'],jabbar,monte,shire,subi,0,0.31,0,0.17,0,0.33,0,0.36,incorrect,incorrect,incorrect,incorrect
['paul'],god,maría,john,ngọc,0,0.0,0,0.22,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],origami,puerta,yoda,ngọc,0,0.18,0,0.4,0,0.25,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],frankenstein,frankenstein,harry,đông,0,0.12,0,0.12,0,0.22,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],god,plata,altın,ngọc,0,0.0,0,0.44,0,0.44,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],paul,maría,sol,đức,1,1.0,0,0.22,0,0.29,0,0.29,correct,incorrect,incorrect,incorrect
['paul'],heathcliff,maría,ali,ngọc,0,0.29,0,0.22,0,0.57,0,0.0,incorrect,incorrect,incorrect,incorrect
['jessica'],god,god,i̇nsan,nguyễn,0,0.0,0,0.0,0,0.33,0,0.15,incorrect,incorrect,incorrect,incorrect
['bene gesserit'],genetic,maría,elara,ngọc,0,0.55,0,0.31,0,0.31,0,0.25,incorrect,incorrect,incorrect,incorrect
['jessica'],leto,choam,atreides,choam,0,0.18,0,0.33,0,0.27,0,0.33,incorrect,incorrect,incorrect,incorrect
['jessica'],she,maría,shin,ngọc,0,0.2,0,0.33,0,0.36,0,0.18,incorrect,incorrect,incorrect,incorrect
"['jessica', 'jessic']",shield,maría,zeus,ngọc,0,0.33,0,0.33,0,0.4,0,0.2,incorrect,incorrect,incorrect,incorrect
['jessica'],maya,en,çocuk,người,0,0.18,0,0.22,0,0.17,0,0.17,incorrect,incorrect,incorrect,incorrect
['paul'],god,medea,gaye,ngọc,0,0.0,0,0.22,0,0.25,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],arrakis,mar,çöl,nguyễn,0,0.18,0,0.29,0,0.29,0,0.2,incorrect,incorrect,incorrect,incorrect
['hawat'],earth,hitler,yoda,thật,0,0.4,0,0.36,0,0.22,0,0.67,incorrect,incorrect,incorrect,incorrect
['paul'],casey,agua,yağmur,đỏ,0,0.22,0,0.5,0,0.4,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],he,maría,ali,ngọc,0,0.0,0,0.22,0,0.57,0,0.0,incorrect,incorrect,incorrect,incorrect
"['paul', 'paul—']",she,platón,god,ngọc,0,0.0,0,0.4,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
"['halleck', 'paul']",leto,shaka,paul,nguyễn,0,0.36,0,0.5,1,1.0,0,0.2,incorrect,incorrect,correct,incorrect
"['paul', 'paul—']",shakespeare,shakespeare,atilla,trang,0,0.27,0,0.27,0,0.4,0,0.22,incorrect,incorrect,incorrect,incorrect
['gurney'],paul,paul,paul,paul,0,0.2,0,0.2,0,0.2,0,0.2,incorrect,incorrect,incorrect,incorrect
['paul'],odysseus,tom,ali,nguyễn,0,0.17,0,0.0,0,0.57,0,0.2,incorrect,incorrect,incorrect,incorrect
['halleck'],asmodeus,lucifer,şeytan,nguyễn,0,0.27,0,0.29,0,0.15,0,0.15,incorrect,incorrect,incorrect,incorrect
"['halleck', 'giọng halleck']",paul,paul,paul,paul,0,0.36,0,0.36,0,0.36,0,0.36,incorrect,incorrect,incorrect,incorrect
['halleck'],time,maría,deniz,nguyễn,0,0.18,0,0.17,0,0.17,0,0.15,incorrect,incorrect,incorrect,incorrect
['halleck'],admiral,shinji,antrenman,việt,0,0.29,0,0.15,0,0.25,0,0.18,incorrect,incorrect,incorrect,incorrect
['paul'],valentine,zeus,yusuf,nguyễn,0,0.31,0,0.25,0,0.22,0,0.2,incorrect,incorrect,incorrect,incorrect
['paul'],paul,arrakis,arrakis,arrakis,1,1.0,0,0.18,0,0.18,0,0.18,correct,incorrect,incorrect,incorrect
['paul'],lincoln,amazon,harry,harry,0,0.18,0,0.2,0,0.22,0,0.22,incorrect,incorrect,incorrect,incorrect
['paul'],god,padre,emir,ngọc,0,0.0,0,0.44,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
['paul'],reverend,madre,yumruklarını,chí,0,0.0,0,0.22,0,0.25,0,0.0,incorrect,incorrect,incorrect,incorrect
['jessica'],paul,gesserit,arrakis,paul,0,0.18,0,0.53,0,0.14,0,0.18,incorrect,incorrect,incorrect,incorrect
['paul'],macarthur,hitler,ha,nguyễn,0,0.31,0,0.2,0,0.33,0,0.2,incorrect,incorrect,incorrect,incorrect
"['jessica', 'jessica—']",god,hitler,çocuk,ngọc,0,0.0,0,0.15,0,0.17,0,0.18,incorrect,incorrect,incorrect,incorrect
['jessica'],thanatos,shakespeare,harry,nguyễn,0,0.13,0,0.33,0,0.17,0,0.15,incorrect,incorrect,incorrect,incorrect
['jessica'],paul,herbert,paul,paul,0,0.18,0,0.14,0,0.18,0,0.18,incorrect,incorrect,incorrect,incorrect
['mapes'],kindjal,kindjal,jack,nguyễn,0,0.17,0,0.17,0,0.22,0,0.18,incorrect,incorrect,incorrect,incorrect
['jessica'],maker,heracles,shakespeare,ngài,0,0.17,0,0.27,0,0.33,0,0.18,incorrect,incorrect,incorrect,incorrect
['jessica'],wellington,el,boğa,đông,0,0.24,0,0.22,0,0.18,0,0.0,incorrect,incorrect,incorrect,incorrect
['jessica'],elizabeth,carlos,kapı,ngọc,0,0.38,0,0.31,0,0.18,0,0.18,incorrect,incorrect,incorrect,incorrect
