Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
"['henry wotton', 'lord henry wotton']",monet,shakespeare,henry,nguyễn,0,0.36,0,0.38,1,1.0,0,0.36,incorrect,incorrect,correct,incorrect
"['basil hallwar', 'basil hallward']",monet,velázquez,leonardo,nguyễn,0,0.0,0,0.25,0,0.5,0,0.0,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",laurel,shakespeare,adem,ngọc,0,0.4,0,0.38,0,0.29,0,0.25,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",god,maría,çiçek,đào,0,0.57,0,0.22,0,0.2,0,0.29,incorrect,incorrect,incorrect,incorrect
['agatha'],emma,chopin,beethoven,nguyễn,0,0.2,0,0.17,0,0.27,0,0.17,incorrect,incorrect,incorrect,incorrect
"['dorian', 'doria']",rembrandt,velázquez,leonardo,nguyễn,0,0.4,0,0.14,0,0.31,0,0.17,incorrect,incorrect,incorrect,incorrect
['basil'],st. john,beethoven,dorian,nguyễn,0,0.15,0,0.14,0,0.18,0,0.0,incorrect,incorrect,incorrect,incorrect
['harry'],reynolds,maría,sevgili,ngọc,0,0.31,0,0.4,0,0.0,0,0.0,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",god,platón,platon,đức,0,0.57,0,0.4,0,0.4,0,0.29,incorrect,incorrect,incorrect,incorrect
"['dorian', 'dorian gray']",virginia,mariposa,arının,đóa,0,0.43,0,0.43,0,0.5,0,0.67,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",warhol,picasso,picasso,đại,0,0.25,0,0.18,0,0.18,0,0.29,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry', 'lord henry—']",lydia,white,white,white,0,0.44,0,0.4,0,0.4,0,0.4,incorrect,incorrect,incorrect,incorrect
"['fermor', 'lord fermor']",young,shakespeare,ali,thanh,0,0.22,0,0.24,0,0.29,0,0.0,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",one,shakespeare,i̇nsan,nguyễn,0,0.31,0,0.38,0,0.2,0,0.36,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",mill,newton,newton,nguyễn,0,0.25,0,0.36,0,0.36,0,0.36,incorrect,incorrect,incorrect,incorrect
"['erskine', 'mr erskine', 'erskine—']",harvard,don,shakespeare,nguyễn,0,0.24,0,0.2,0,0.33,0,0.31,incorrect,incorrect,incorrect,incorrect
"['lord henry', 'henry']",frangipanni,maría,ali,ngọc,0,0.19,0,0.22,0,0.29,0,0.25,incorrect,incorrect,incorrect,incorrect
"['henr', 'harry']",confucius,shakespeare,özdemir,nguyễn,0,0.15,0,0.4,0,0.36,0,0.4,incorrect,incorrect,incorrect,incorrect
"['basil', 'sibyl']",shakespeare,hamlet,dorian,west,0,0.25,0,0.36,0,0.18,0,0.22,incorrect,incorrect,incorrect,incorrect
