en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"“I’m Adela,” she said. She had an eye patch and blond hair the same color and texture as hay. “I’m the Vice Secretary.”","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['adela'],"color and She blond and hay. eye the an said. she “I’m Adela,” as “I’m texture Vice same Secretary.” had the hair patch","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"“The Wellness team think their adjustment will be negatively impacted if they’re held on the wards any longer,” said Adela, dry as a filing system.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['adela'],"impacted if longer,” a held said be they’re system. their adjustment Wellness dry wards will the any think filing as on “The team Adela, negatively","""title"": ""The Power"", ""author"": ""Naomi Alderman"""
"Graham Gore (Commander, Royal Navy; c.1809–c.1847) had been in the twenty-first century for five weeks, though, like the other expats, he’d been lucid for only a handful of those days. The extraction process had merited a fortnight of hospitalization. Two of the original seven expats had died because of it, and only five remained. He’d been treated for pneumonia, for severe frostbite, for the early stages of scurvy, and two broken toes on which he had been blithely walking. Lacerations too, from a Taser—he’d shot at two of the team members who’d come to expatriate him, and a third was forced to fire.","""title"": ""The Anubis Gates"", ""author"": ""Tim Powers""",['graham gore'],"expatriate toes too, forced been extraction which had broken five lucid only the hospitalization. team had severe for scurvy, shot days. Taser—he’d weeks, for to him, was Royal died early for it, handful of of five like the because two the walking. (Commander, and fortnight blithely twenty-first a of frostbite, He’d on been he of expats, a century the come had Graham third two The merited seven members Navy; the those a a for of fire. original though, Gore treated who’d had only from for and stages remained. c.1809–c.1847) to expats he’d been process of in pneumonia, other been and at Lacerations Two","""title"": ""The Terror"", ""author"": ""Dan Simmons"""
"The house that the Ministry had provided was a late-Victorian redbrick, originally designed for local workers. Gore would have seen them built, if he’d lived into his eighties. As it was, he was thirty-seven years old and had not experienced crinolines, A Tale of Two Cities, or the enfranchisement of the working classes.","""title"": ""The Ministry of Space"", ""author"": ""Warren Ellis""",['gore'],"that thirty-seven if built, provided classes. late-Victorian have experienced into Tale As it designed local A redbrick, he’d enfranchisement had had or a crinolines, years he was Cities, of of them seen the for old the workers. was, Ministry originally lived house eighties. and not would the his The Two Gore was working","""title"": ""The Ministry of Fear"", ""author"": ""Graham Greene"""
"“Mm. Beside your elbow is a white box with a handle. It’s a refrigerator—a fridge, we call it. Could you open the door and take out the milk, please?”","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams""",['mm'],"a you is box call take and please?” we it. door fridge, “Mm. with elbow the out a open a refrigerator—a handle. Beside the It’s milk, your white Could","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"Gore was already fully dressed and sitting on the edge of the bath, smoking. The bottom of the bath had a low-tide mark of cigarette ash and soap scum. Two cigarettes were crushed out in the soap dish.","""title"": ""The Big Sleep"", ""author"": ""Raymond Chandler""",['gore'],"on were soap bottom cigarette and The soap already was the low-tide dressed of Gore sitting the smoking. edge cigarettes mark the of and Two bath, the fully a of in scum. dish. crushed had ash out bath","""title"": ""Finnegans Wake"", ""author"": ""James Joyce"""
"All this was to come. On that first morning, there was Gore chain-smoking and a bleeding water-supply line. The toilet’s cistern lay on the floor, gleaming like a slain whale. A vile smell was seeping up from the floor.","""title"": ""A Confederacy of Dunces"", ""author"": ""John Kennedy Toole""",['gore'],"line. All floor. seeping the cistern was whale. there On was that gleaming on bleeding like The and chain-smoking floor, morning, Gore lay slain from A first come. up was vile to toilet’s a the smell water-supply a this","""title"": ""The Metamorphosis"", ""author"": ""Franz Kafka"""
"Gore was an officer from the dusk of the Age of Sail, not an engineer. I’m sure he knew plenty about ship’s rigging, but he’d probably never handled an instrument more technologically complex than a sextant. Men in their right minds are not usually overcome with a mania for pulling the plumbing apart. I suggested he might like to wash his hands at the sink downstairs, and I could, perhaps, call a plumber, and we could, potentially, take a constitutional walk on the nearby heath.","""title"": ""The Gone-Away World"", ""author"": ""Nick Harkaway""",['gore'],"was minds heath. an he to than overcome not nearby the dusk take Men more a their the constitutional downstairs, suggested at usually the and an apart. he for potentially, pulling mania I the rigging, ship’s officer about I’m technologically engineer. could, sink the sextant. plenty wash never we right are an I and of a sure Sail, Age from Gore his call plumber, he’d hands in probably but with of instrument knew handled perhaps, a walk complex a not might plumbing could, on like","""title"": ""The Old Man and the Sea"", ""author"": ""Ernest Hemingway"""
"The more I got to know him, the more I discovered Gore was the most entirely realized person I’d ever met. In his own time, he had liked hunting, sketching, flute playing (he was very good at this), and the company of other people. Hunting was out of the question, and socializing was limited by order of the Ministry. By the end of the first week he was visibly going bonkers with no one but me to talk to.","""title"": ""The Giver"", ""author"": ""Lois Lowry""",['gore'],"he more him, to. liked one to limited visibly talk got and out people. first going socializing discovered the Hunting of of the of flute The met. of no the by was realized at own had very company (he most he his I me the ever to order was good but sketching, I bonkers time, question, end know the In Ministry. Gore the week the person other was this), hunting, more playing entirely I’d was was with and By","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"Gore was internally displaced in this way. I could sometimes see him regarding the modern world as if through a telescope. He stood forever on the deck of a ship somewhere in the early 1800s. He must have done it even in his own era, coming down from the ports to note with alarm that women were wearing their sleeves wide again, that some European country had declared war on another again, while he was months or years away at sea. He told me stories as if he were trying to catch himself in amber. Just like my mother, though I didn’t tell him that.","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""",['gore'],"at on he done forever to the mother, ports He early somewhere were stories Just like while some He have alarm stood world war ship declared modern on coming could another the a tell didn’t era, I if as that again, I it 1800s. or in months Gore had him as through in was down trying him with amber. a deck displaced in himself country again, even he from that. away women must in this European the way. own though were their years his note sleeves wearing my me that regarding telescope. sometimes if was He internally wide the see sea. of told catch to","""title"": ""Moby-Dick"", ""author"": ""Herman Melville"""
"I should say that my face does a good impression of whiteness, late-entering or not. I didn’t know how to tell Gore that I’d been tricking him, feature by feature. I wasn’t sure I was ready to. He’d made, as people do, an assumption about me that left me room to maneuver. Later, when he found out the truth—as people do—he’d be unbalanced by his own mistake. Another person’s unguardedness in that moment can be very useful, interpersonally, as long as you don’t soften. There is language I could use about this if I were the melodramatic type: behind enemy lines, for example, or double agent. My sister might use these terms, or she might call me a fraud.","""title"": ""The Idiot"", ""author"": ""Elif Batuman""",['gore'],"interpersonally, use behind useful, fraud. made, be say My There that when don’t or if unbalanced Another unguardedness this these or mistake. for by face very ready tricking enemy as I agent. Later, do—he’d He’d didn’t I tell sure people I or whiteness, the an as him, out he me that might I feature. I feature can to were language that know assumption moment his me double a lines, as not. that in wasn’t I late-entering maneuver. about Gore long call good about a own use to melodramatic she do, I’d does could person’s room the found my by was truth—as me soften. impression should example, left been how terms, people is you sister might to. type: of be","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"Gore lifts his hand. He’s left a smear on the table the color of tamarind flesh. There is a sour, steady pain in his palm that he briefly misunderstands as a taste.","""title"": ""The Particular Sadness of Lemon Cake"", ""author"": ""Aimee Bender""",['gore'],"his pain palm a Gore flesh. sour, color a in misunderstands smear he that on briefly lifts taste. of left He’s tamarind hand. the a is the as There table steady his","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"Gore considers the weight of the sack he’d carried, which had felt so meaningful. “Three partridges,” he says, “and a boatswain gull too far off to hit. Nothing else. Not even tracks.”","""title"": ""The Sea-Wolf"", ""author"": ""Jack London""",['gore'],"says, too carried, he’d the sack felt “Three gull Gore weight hit. even partridges,” to meaningful. Not considers had a Nothing tracks.” of else. “and boatswain the off which he so far","""title"": ""Moby-Dick"", ""author"": ""Herman Melville"""
"At this, Stanley leans in. He is a fussy, short-tempered, handsome man who does not enjoy his job. “I must impress upon the meeting that the debility that wracks those in the sick bay will doubtless find ample footholds should we reduce the men’s rations.”","""title"": ""The Terror"", ""author"": ""Dan Simmons""",['stanley'],"footholds debility Stanley bay will must doubtless does his short-tempered, meeting He fussy, we handsome “I sick should the the not ample this, man in. upon who those men’s find wracks that is the the job. in a that impress rations.” reduce leans enjoy At","""title"": ""Heart of Darkness"", ""author"": ""Joseph Conrad"""
"Gore is looking at his left palm. The sour pain is still there, seeping through the bandages. So is the blood, but it seems melodramatic to observe this.","""title"": ""The Secret History"", ""author"": ""Donna Tartt""",['gore'],"The this. is through seeping is melodramatic it seems bandages. sour to observe but still the looking his the pain is left at So blood, palm. there, Gore","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"The ice outside shifts—the Arctic stammering its jaws as a cat does when it sees a bird. The ship’s cat died in convulsions during their second winter. Gore had liked that cat. He’d become quite attached to it, especially as his dog had died in the first spring.","""title"": ""The Terror"", ""author"": ""Dan Simmons""",['gore'],"first as the liked ship’s died outside He’d especially ice attached had The a Arctic it, had it Gore in to The does bird. shifts—the his sees its a become cat. second convulsions dog died as winter. stammering jaws quite cat cat during their spring. in that when","""title"": ""The Call of the Wild"", ""author"": ""Jack London"""
"Once we arrived at the Ministry, an escort of subtly armed suits took Gore to meet the other expats. I was expecting he’d go through a group therapy session, but Gore was in a sunny mood, so he must have been envisaging something closer to a salon.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""",['gore'],"closer Gore in envisaging group a so was mood, been other at Gore arrived to must something Once expecting of we session, sunny an the a he but Ministry, therapy the he’d subtly took expats. have escort through I a was suits to armed go meet salon.","""title"": ""The Ministry of Fear"", ""author"": ""Graham Greene"""
"“Complex,” said Adela. “Thanks for your input. Given their histories, mental trauma is to be anticipated. I remind you that we are interested in the actual feasibility of taking a human body through time. Our concern is if the process of time-travel has major implications for the expat or the expat’s surroundings.”","""title"": ""The Time Traveler's Wife"", ""author"": ""Audrey Niffenegger""",['adela'],"actual or be is of their to Adela. major for of “Thanks expat’s taking input. the expat time. trauma you Our concern Given mental “Complex,” that has through we the is I body feasibility if the implications the are human said remind your for histories, time-travel a process interested anticipated. in surroundings.”","""title"": ""The Power"", ""author"": ""Naomi Alderman"""
"“We can’t risk the temporal repercussions,” said Adela. “They are supposed to be dead. As long as they’re here, it’s functionally as if they are dead in their own time. Again, I must emphasize, you are focused on the long-term prognoses of the expats in our era. Your remits really could not be clearer.”","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['adela'],"are focused the dead if I their be As time. dead. our risk temporal prognoses here, remits are long-term long really functionally you as emphasize, it’s could to can’t are Again, clearer.” they’re expats of the in era. Your on “They as supposed in said repercussions,” not Adela. “We own must be they the","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"We’d arrived in the central lobby. Gore was standing in a shaft of sunlight, staring up at the steel-and-glass ceiling. He looked dazzled into boyishness by the half sky of the building’s skull.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""",['gore'],"up arrived sunlight, building’s the We’d staring dazzled the ceiling. the in a Gore was boyishness of sky at He the of into lobby. by shaft in half steel-and-glass central skull. looked standing","""title"": ""American Psycho"", ""author"": ""Bret Easton Ellis"""
"We went for lunch at a small bistro near the Ministry. Gore came from an era of service à la française, private dining rooms and putting everything into jelly. When I began to explain, in tones of motherly patience, how twenty-first-century restaurants operated, he said, “I’ve eaten kangaroo on the uninhabited shores of the Albert River. I understand how a knife and fork work. Please sit down.”","""title"": ""The Word is Murder"", ""author"": ""Anthony Horowitz""",['gore'],"kangaroo rooms everything uninhabited putting said, the from came Albert I small explain, Ministry. a into at restaurants When jelly. operated, near We à private he of twenty-first-century motherly work. began la bistro era went how the eaten River. of “I’ve tones on lunch française, Gore and a sit down.” and shores service for knife patience, understand Please fork dining to how the I in of an","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"“I thought it might be a good thing to make a proper friend of him,” Gore continued. “He said he would arrange for his bridge to take us to”—here he raised his eyebrows—“a public house. I am looking forward to seeing what visions of sin this era has concocted for the humble tavern.”","""title"": ""The Eyre Affair"", ""author"": ""Jasper Fforde""",['gore'],"house. good visions to “I said us of Gore sin looking humble forward him,” of thing might would he proper public the “He this be eyebrows—“a to take continued. it bridge for thought raised to”—here era his to what a a for seeing he I arrange has his friend tavern.” am concocted make","""title"": ""The Great Gatsby"", ""author"": ""F. Scott Fitzgerald"""
