Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['hiney', 'cassie hiney', 'cassie']",emily,0,0.4,incorrect,scarlett,0,0.43,incorrect,wemmick,0,0.21,incorrect,zeytin,0,0.36,incorrect,do my linh,0,0.27,incorrect,o,0,0.0,incorrect,emily,0,0.4,incorrect,emma,0,0.22,incorrect,scarlett,0,0.43,incorrect,zeytin,0,0.36,incorrect,o,0,0.0,incorrect,emma,0,0.22,incorrect
"['chuck', 'chuck parson', 'parson']",walter,0,0.33,incorrect,wrestling,0,0.4,incorrect,robocop,0,0.31,incorrect,steroid,0,0.31,incorrect,phantom,0,0.46,incorrect,doi,0,0.22,incorrect,conan,0,0.36,incorrect,anabolicos,0,0.25,incorrect,wrestling,0,0.4,incorrect,steroid,0,0.31,incorrect,doi,0,0.22,incorrect,anabolicos,0,0.25,incorrect
['chuck'],greg,0,0.0,incorrect,chillingworth,0,0.22,incorrect,wendell,0,0.0,incorrect,ispanya,0,0.0,incorrect,duc,0,0.5,incorrect,the,0,0.25,incorrect,elvira,0,0.0,incorrect,harriet,0,0.17,incorrect,chillingworth,0,0.22,incorrect,ispanya,0,0.0,incorrect,the,0,0.25,incorrect,harriet,0,0.17,incorrect
"['chuc', 'chuck']",life,0,0.0,incorrect,prom,0,0.0,incorrect,arthur,0,0.4,incorrect,iyi,0,0.0,incorrect,buoi da hoi,0,0.13,incorrect,chung,0,0.67,incorrect,la graduacion,0,0.24,incorrect,baile,0,0.0,incorrect,prom,0,0.0,incorrect,iyi,0,0.0,incorrect,chung,0,0.67,incorrect,baile,0,0.0,incorrect
['angela'],claudia,0,0.31,incorrect,north,0,0.18,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,santa,0,0.55,incorrect,lucas,0,0.36,incorrect,north,0,0.18,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,lucas,0,0.36,incorrect
['margo'],emily,0,0.2,incorrect,harley quinn,0,0.24,incorrect,arthur,0,0.36,incorrect,yusuf,0,0.0,incorrect,emily,0,0.2,incorrect,do,0,0.29,incorrect,elvis,0,0.0,incorrect,angel,0,0.4,incorrect,harley quinn,0,0.24,incorrect,yusuf,0,0.0,incorrect,do,0,0.29,incorrect,angel,0,0.4,incorrect
['margo'],max,0,0.5,incorrect,mom,0,0.5,incorrect,arthur,0,0.36,incorrect,yusuf,0,0.0,incorrect,nguyen,0,0.18,incorrect,pham,0,0.22,incorrect,tom,0,0.25,incorrect,papa,0,0.22,incorrect,mom,0,0.5,incorrect,yusuf,0,0.0,incorrect,pham,0,0.22,incorrect,papa,0,0.22,incorrect
"['margo', 'margo—']",jess,0,0.0,incorrect,school,0,0.18,incorrect,emily,0,0.2,incorrect,yarin,0,0.4,incorrect,nguyen,0,0.18,incorrect,truong,0,0.36,incorrect,lucy,0,0.0,incorrect,clase,0,0.2,incorrect,school,0,0.18,incorrect,yarin,0,0.4,incorrect,truong,0,0.36,incorrect,clase,0,0.2,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,adulthood,0,0.29,incorrect,albert,0,0.36,incorrect,emekliligi,0,0.27,incorrect,nguoi,0,0.4,incorrect,doi,0,0.25,incorrect,yuval noah harari,0,0.18,incorrect,vasquez,0,0.17,incorrect,adulthood,0,0.29,incorrect,emekliligi,0,0.27,incorrect,doi,0,0.25,incorrect,vasquez,0,0.17,incorrect
