Single_ent,en_masked_shuffled_results,es_masked_shuffled_results,tr_masked_shuffled_results,vi_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,es_exact_match,es_highest_fuzzy_match,tr_exact_match,tr_highest_fuzzy_match,vi_exact_match,vi_highest_fuzzy_match,en_correct,es_correct,tr_correct,vi_correct
"['nancy bobofit', 'nancy']",jace,alma,adam,giọt,0,0.44,0,0.22,0,0.22,0,0.36,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",chiron,zeus,caesar,mã,0,0.31,0,0.18,0,0.35,0,0.4,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'murmuré', 'brunner']",mr.,laura,orhan,tôi,0,0.4,0,0.38,0,0.33,0,0.0,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",smith,picasso,leonardo,cây,0,0.0,0,0.2,0,0.27,0,0.67,incorrect,incorrect,incorrect,incorrect
"['dodds', 'señora dodds', 'bayan dodds']",mrs.,fausto,sauron,nguyễn,0,0.25,0,0.33,0,0.36,0,0.36,incorrect,incorrect,incorrect,incorrect
"['jackson', 'bay jackson', 'señor jackson']",anderson,juan,toplayın,nguyễn,0,0.53,0,0.55,0,0.36,0,0.36,incorrect,incorrect,incorrect,incorrect
"['dodds', 'bayan dodds']",clarisse,ramírez,ali,thỉnh,0,0.21,0,0.17,0,0.25,0,0.2,incorrect,incorrect,incorrect,incorrect
"['dodds', 'señora dodds', 'bayan dodds']",mrs.,kafka,freud,ban,0,0.25,0,0.4,0,0.24,0,0.75,incorrect,incorrect,incorrect,correct
"['nancy bobofit', 'nancy']",lisa,juan,ahmet,f,0,0.22,0,0.44,0,0.22,0,0.25,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",smith,borges,azrail,thầy,0,0.0,0,0.46,0,0.24,0,0.57,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",smith,garcía,ahmet,yancy,0,0.0,0,0.24,0,0.25,0,0.5,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",smith,invierno,noel,chí,0,0.0,0,0.4,0,0.36,0,0.0,incorrect,incorrect,incorrect,incorrect
"['bay brunner', 'brunner']",homer,smith,plato,hy,0,0.33,0,0.0,0,0.25,0,0.4,incorrect,incorrect,incorrect,incorrect
['nancy bobofit'],he,juan,ahmet,nhỏ,0,0.0,0,0.44,0,0.22,0,0.25,incorrect,incorrect,incorrect,incorrect
