Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['jack'],autumn,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],romeo,0,0.0,incorrect
['jack'],harry,0,0.22,incorrect
['jack'],sheldon,0,0.0,incorrect
['jack'],tyler,0,0.0,incorrect
['jack'],he’s,0,0.0,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],mr. smith,0,0.0,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],johnny,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],team,0,0.25,incorrect
['jack'],jordan,0,0.4,incorrect
['jack'],john,0,0.25,incorrect
['jack'],john,0,0.25,incorrect
['jack'],girls,0,0.0,incorrect
['jack'],mary,0,0.25,incorrect
['jack'],autumn,0,0.2,incorrect
['jack'],sarah,0,0.22,incorrect
['autumn'],mary,0,0.2,incorrect
['autumn'],stargirl,0,0.14,incorrect
['autumn'],sally,0,0.18,incorrect
['jack'],mary,0,0.25,incorrect
['jack'],johnny,0,0.2,incorrect
['jack'],autumn,0,0.2,incorrect
['george w'],finny,0,0.0,incorrect
['jack'],gatsby,0,0.2,incorrect
['syl'],home,0,0.0,incorrect
['syl'],scarlett,0,0.36,incorrect
['lexy'],romeo,0,0.22,incorrect
['jack'],huck,0,0.5,incorrect
['jack'],emily,0,0.0,incorrect
['jack'],death,0,0.22,incorrect
['jack'],rachel,0,0.4,incorrect
['sylv'],huh,0,0.0,incorrect
['trevor'],gatsby,0,0.17,incorrect
['chloe'],mary,0,0.0,incorrect
['chloe'],friend,0,0.18,incorrect
['chloe'],jessica,0,0.17,incorrect
['kyle'],dad,0,0.0,incorrect
['kyle'],charlie,0,0.36,incorrect
['kyle'],coach,0,0.0,incorrect
['carter'],mrs.,0,0.2,incorrect
['brett'],parents,0,0.5,incorrect
['brett'],holden,0,0.18,incorrect
['brett'],charlie,0,0.33,incorrect
['brett'],scout,0,0.2,incorrect
['brett'],gatsby,0,0.18,incorrect
['brett'],frisbee,0,0.33,incorrect
['zelda'],steve,0,0.2,incorrect
['brett'],elevator,0,0.31,incorrect
['brett'],john,0,0.0,incorrect
['brett'],never,0,0.2,incorrect
['taylor'],gladys,0,0.33,incorrect
['sylv'],emily,0,0.22,incorrect
['dave'],emily,0,0.22,incorrect
['beba'],mama,0,0.25,incorrect
['dave'],maybe,0,0.44,incorrect
['john'],john,1,1.0,correct
['john'],gatsby,0,0.0,incorrect
['john'],gatsby,0,0.0,incorrect
['john'],gatsby,0,0.0,incorrect
['stella'],autumn,0,0.17,incorrect
['john'],waitress,0,0.0,incorrect
['jack'],andy,0,0.25,incorrect
['john'],phineas,0,0.36,incorrect
['john'],john,1,1.0,correct
['jack'],johnny,0,0.2,incorrect
['jack'],john,0,0.25,incorrect
['jack'],mary,0,0.25,incorrect
