Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['serena'],houdini,0,0.15,incorrect
['serena'],emily,0,0.18,incorrect
['vampyre'],mycroft,0,0.43,incorrect
['lark'],father,0,0.4,incorrect
['cal'],smith,0,0.0,incorrect
['vampyres'],gatsby,0,0.29,incorrect
['vampyres'],whose,0,0.15,incorrect
['davenport'],governor,0,0.59,incorrect
['davenport'],jon,0,0.17,incorrect
['vampyres'],humans,0,0.29,incorrect
['abel'],huck,0,0.0,incorrect
['roscoe'],weres,0,0.36,incorrect
['roscoe'],gulliver,0,0.14,incorrect
['serena'],vampire,0,0.31,incorrect
['vampyre'],alpha,0,0.33,incorrect
['serena'],jekyll,0,0.17,incorrect
['vampyres'],why,0,0.18,incorrect
['essen'],elizabeth,0,0.29,incorrect
['davenport'],governor,0,0.59,incorrect
['vampyre'],gauging,0,0.14,incorrect
['serena'],mary,0,0.2,incorrect
['moreland'],macbeth,0,0.27,incorrect
['moreland'],john,0,0.33,incorrect
['vampyre'],were,0,0.36,incorrect
['moreland'],atticus,0,0.13,incorrect
['moreland'],boy,0,0.18,incorrect
['moreland'],gatsby,0,0.14,incorrect
['lark'],johnny,0,0.0,incorrect
['moreland'],gatsby,0,0.14,incorrect
['moreland'],heathcliff,0,0.22,incorrect
['moreland'],holden,0,0.43,incorrect
['deanna dryden'],humanfucker,0,0.25,incorrect
['moreland'],gatsby,0,0.14,incorrect
['serena'],edward,0,0.33,incorrect
['ana'],dracula,0,0.4,incorrect
['serena'],her,0,0.44,incorrect
['juno'],holden,0,0.2,incorrect
['ana'],serena,0,0.44,incorrect
['serena'],alex,0,0.2,incorrect
['cat'],he,0,0.0,incorrect
['serena'],hazel,0,0.18,incorrect
['serena'],emily,0,0.18,incorrect
['serena'],herald,0,0.5,incorrect
['serena'],charlie,0,0.31,incorrect
['serena'],gatsby,0,0.17,incorrect
['serena'],violet,0,0.17,incorrect
['serena'],hag,0,0.22,incorrect
['vampyres'],surveying,0,0.24,incorrect
['alex'],lowe,0,0.5,incorrect
['alex'],chase,0,0.44,incorrect
['alex'],alpha,0,0.44,incorrect
['serena'],sheldon,0,0.46,incorrect
['serena'],vampyres,0,0.29,incorrect
['l'],yahoo,0,0.0,incorrect
['serena'],smith,0,0.18,incorrect
['serena'],emily,0,0.18,incorrect
['vampyres'],john,0,0.0,incorrect
['max'],lowe,0,0.0,incorrect
['max'],macbeth,0,0.4,incorrect
['max'],giraffe,0,0.2,incorrect
['max'],hercule,0,0.0,incorrect
['juno'],lowe,0,0.25,incorrect
['juno'],sheila,0,0.0,incorrect
['serena'],glitch,0,0.0,incorrect
['vampyre'],fighter,0,0.14,incorrect
