Single_ent,en_masked_shuffled_results,en_exact_match,en_highest_fuzzy_match,en_correct
['ryan'],emily,0,0.22,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],ged,0,0.0,incorrect
['ryan'],holden,0,0.2,incorrect
['ryan'],atticus,0,0.18,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],edward,0,0.2,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],forbing,0,0.36,incorrect
['pat'],john,0,0.0,incorrect
['pat'],ryan,0,0.29,incorrect
['pat'],goodwill,0,0.0,incorrect
['pat'],john,0,0.0,incorrect
['ryan'],cvs,0,0.0,incorrect
['ryan'],someone,0,0.18,incorrect
['ryan'],someone,0,0.18,incorrect
['shawna'],scarlett,0,0.29,incorrect
['ryan'],louisiana,0,0.31,incorrect
['ryan'],grandfather,0,0.4,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],john,0,0.25,incorrect
['rogers'],atticus,0,0.15,incorrect
['rogers'],darcy,0,0.18,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],bob,0,0.0,incorrect
['ryan'],tahoe,0,0.22,incorrect
['ryan'],he,0,0.0,incorrect
['ryan'],he,0,0.0,incorrect
['ryan'],marshmallow,0,0.27,incorrect
['ryan'],oscar,0,0.22,incorrect
['sara'],emily,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect
['sara'],jingle,0,0.0,incorrect
['ryan'],rachel,0,0.4,incorrect
['ryan'],emily,0,0.22,incorrect
['hot browns'],ryan,0,0.4,incorrect
['bama'],tuscaloosa,0,0.29,incorrect
['ryan'],lunch,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],his,0,0.0,incorrect
['sara'],johnny,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],someone,0,0.18,incorrect
['ryan'],harry,0,0.44,incorrect
['ryan'],friend,0,0.4,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],romeo,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],johnny,0,0.2,incorrect
['james'],her,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect
['eden'],she,0,0.29,incorrect
['rockefeller'],kitchen,0,0.22,incorrect
['mama'],honey,0,0.0,incorrect
['lucca'],gatsby,0,0.18,incorrect
['mama'],carolina,0,0.33,incorrect
['mama'],glenda,0,0.2,incorrect
['eden'],,0,0.29,incorrect
['ryan'],exit,0,0.0,incorrect
['ryan'],are,0,0.29,incorrect
['ryan'],waiter,0,0.2,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],carolina,0,0.33,incorrect
['beth'],peacock,0,0.18,incorrect
['beth'],john,0,0.25,incorrect
['ryan'],hawaii,0,0.2,incorrect
['ryan'],handsy,0,0.4,incorrect
['james'],janie,0,0.6,incorrect
['ryan'],longing,0,0.18,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],johnny,0,0.2,incorrect
['lucca'],johnny,0,0.0,incorrect
['james'],tyler,0,0.2,incorrect
['james'],he,0,0.29,incorrect
['james'],john,0,0.22,incorrect
['ryan'],johnny,0,0.2,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],street,0,0.2,incorrect
['ryan'],grandpa,0,0.55,incorrect
['ryan'],romeo,0,0.22,incorrect
['ryan'],texas,0,0.22,incorrect
['mama'],devil,0,0.0,incorrect
['mama'],gatsby,0,0.2,incorrect
['matt'],holden,0,0.0,incorrect
['matt'],james,0,0.22,incorrect
['matt'],john,0,0.0,incorrect
['matt'],robert,0,0.2,incorrect
['james'],louise,0,0.18,incorrect
['ryan'],derby,0,0.44,incorrect
['wasn'],jackson,0,0.55,incorrect
['ryan'],cole,0,0.0,incorrect
['ryan'],boss,0,0.0,incorrect
['ryan'],glenview,0,0.17,incorrect
['ryan'],forbing,0,0.36,incorrect
['ryan'],glenview,0,0.17,incorrect
['ryan'],shreveport,0,0.14,incorrect
['ryan'],opinion,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],friend,0,0.4,incorrect
['ryan'],glenview,0,0.17,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],louisiana,0,0.31,incorrect
['ryan'],atticus,0,0.18,incorrect
['ryan'],johnny,0,0.2,incorrect
['ryan'],silence,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],tyler,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect
['james'],john,0,0.22,incorrect
['ryan'],hummingbird,0,0.13,incorrect
['james'],dad,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect
['james'],hemingway,0,0.14,incorrect
['ryan'],bartender,0,0.31,incorrect
['greg'],gatsby,0,0.2,incorrect
['jenny'],john,0,0.44,incorrect
['greg'],miles,0,0.22,incorrect
['jenny'],sing,0,0.22,incorrect
['jenny'],kingston,0,0.31,incorrect
['matt'],john,0,0.0,incorrect
['matt'],gatsby,0,0.4,incorrect
['jenny'],elsa,0,0.22,incorrect
['greg'],john,0,0.0,incorrect
['jenny'],ophelia,0,0.17,incorrect
['matt'],kingston,0,0.17,incorrect
['greg'],miles,0,0.22,incorrect
['matt'],johnny,0,0.0,incorrect
['greg'],john,0,0.0,incorrect
['matt'],john,0,0.0,incorrect
['matt'],john,0,0.0,incorrect
['bernard'],smith,0,0.0,incorrect
['james'],ryan,0,0.22,incorrect
['lucca'],derby,0,0.0,incorrect
['james'],rouge,0,0.2,incorrect
['james'],she,0,0.25,incorrect
['james'],thread,0,0.18,incorrect
['ryan'],johnny,0,0.2,incorrect
['james'],johnny,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],johnny,0,0.2,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],plate,0,0.22,incorrect
['ryan'],gatsby,0,0.2,incorrect
['james'],john,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect
['james'],gatsby,0,0.36,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],johnny,0,0.2,incorrect
['james'],let’s,0,0.4,incorrect
['lucca'],emily,0,0.2,incorrect
['ryan'],bernard,0,0.36,incorrect
['ryan'],he,0,0.0,incorrect
['ryan'],jane,0,0.5,incorrect
['bullock'],deputy,0,0.15,incorrect
['james'],mary,0,0.22,incorrect
['bullock'],smith,0,0.0,incorrect
['jane'],grinch,0,0.2,incorrect
['ryan'],someone,0,0.18,incorrect
['andrew marshall'],john,0,0.2,incorrect
['matt'],he,0,0.0,incorrect
['george'],andrew,0,0.33,incorrect
['andrew'],carolina,0,0.29,incorrect
['andrew'],god,0,0.22,incorrect
['andrew'],miller,0,0.17,incorrect
['ryan'],southern,0,0.33,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],him,0,0.0,incorrect
['devon'],instagram,0,0.14,incorrect
['ryan'],john,0,0.25,incorrect
['devon'],john,0,0.44,incorrect
['ryan'],justice,0,0.0,incorrect
['bernards'],watchin,0,0.13,incorrect
['how'],heather,0,0.2,incorrect
['bernard'],john,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],goodbye,0,0.18,incorrect
['ryan'],voice,0,0.0,incorrect
['ryan'],devon,0,0.22,incorrect
['ryan'],jim,0,0.0,incorrect
['ryan'],driver,0,0.2,incorrect
['deputy bullock'],bernard,0,0.15,incorrect
['porter'],shane,0,0.18,incorrect
['devon'],gatsby,0,0.0,incorrect
['porter'],smith,0,0.18,incorrect
['ryan'],her,0,0.29,incorrect
['evelyn porter'],alabama,0,0.15,incorrect
['andrew marshall'],hilton,0,0.29,incorrect
['andrew'],street,0,0.33,incorrect
['matt'],where,0,0.0,incorrect
['matt'],john,0,0.0,incorrect
['andrew marshall'],silence,0,0.31,incorrect
['andrew marshall'],senator,0,0.31,incorrect
['matt'],marshall,0,0.33,incorrect
['matt'],smith,0,0.44,incorrect
['marshall'],gatsby,0,0.29,incorrect
['nelson'],senator,0,0.31,incorrect
['matt'],john,0,0.0,incorrect
['matt'],hilton,0,0.2,incorrect
['amy holder'],forbing,0,0.31,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],snail,0,0.22,incorrect
['amy'],gatsby,0,0.44,incorrect
['amy holder'],wells,0,0.18,incorrect
['amy holder'],candler,0,0.47,incorrect
['amy holder'],gatsby,0,0.44,incorrect
['amy holder'],atlanta,0,0.24,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],towel,0,0.0,incorrect
['ryan'],buffet,0,0.0,incorrect
['james'],john,0,0.22,incorrect
['ryan'],he,0,0.0,incorrect
['bobby flay'],gordon,0,0.18,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],johnny,0,0.2,incorrect
['ryan'],amex,0,0.25,incorrect
['james'],johnny,0,0.18,incorrect
['matt'],raleigh,0,0.18,incorrect
['george'],hilton,0,0.17,incorrect
['george'],florida,0,0.31,incorrect
['t'],pickens,0,0.0,incorrect
['tyron'],sanders,0,0.17,incorrect
['george'],devon,0,0.36,incorrect
['george'],domino,0,0.17,incorrect
['andrew marshall'],john,0,0.2,incorrect
['george'],first,0,0.18,incorrect
['george'],john,0,0.2,incorrect
['cameron'],smith,0,0.17,incorrect
['roger'],alma,0,0.0,incorrect
['cameron'],coach,0,0.33,incorrect
['ryan'],oxford,0,0.2,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],gatsby,0,0.2,incorrect
['ryan'],nashville,0,0.15,incorrect
['ryan'],smith,0,0.0,incorrect
['ryan'],gatsby,0,0.2,incorrect
['amy holder'],death,0,0.36,incorrect
['ryan'],rhett,0,0.22,incorrect
['tate'],john,0,0.0,incorrect
['devon'],harry,0,0.0,incorrect
['tate'],devon,0,0.22,incorrect
['ralph tate'],john,0,0.22,incorrect
['sawyer'],johnny,0,0.17,incorrect
['tate'],hank,0,0.25,incorrect
['sawyer'],recon,0,0.18,incorrect
['sawyer'],johnny,0,0.17,incorrect
['sawyer'],gatsby,0,0.33,incorrect
['sawyer'],jack,0,0.2,incorrect
['sawyer'],devon,0,0.18,incorrect
['george'],johnny,0,0.17,incorrect
['ryan'],james,0,0.22,incorrect
['tate'],devon,0,0.22,incorrect
['andrew marshall'],governor,0,0.29,incorrect
['marshall'],governor,0,0.12,incorrect
['andrew'],john,0,0.2,incorrect
['andrew marshall'],john,0,0.2,incorrect
['andrew'],holmes,0,0.17,incorrect
['andrew marshall'],johnny,0,0.17,incorrect
['george'],my,0,0.0,incorrect
['lucca'],atlanta,0,0.33,incorrect
['james'],trigger,0,0.17,incorrect
['ryan'],john,0,0.25,incorrect
['ryan'],tylenol,0,0.36,incorrect
['amy holder'],space,0,0.27,incorrect
['george'],gatsby,0,0.17,incorrect
['ryan'],myra,0,0.5,incorrect
['george'],tyler,0,0.36,incorrect
['ryan'],he,0,0.0,incorrect
['ryan'],oliver,0,0.2,incorrect
['ryan'],devon,0,0.22,incorrect
['ryan'],gatsby,0,0.2,incorrect
['mama'],memories,0,0.33,incorrect
['mama'],emily,0,0.22,incorrect
['mama'],emily,0,0.22,incorrect
['amy holder'],decatur,0,0.46,incorrect
['amy'],natasha,0,0.2,incorrect
['amy'],gwyneth,0,0.2,incorrect
['amy'],gatsby,0,0.44,incorrect
['amy holder'],anna,0,0.29,incorrect
['amy'],blessed,0,0.0,incorrect
['amy'],atlanta,0,0.2,incorrect
