Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie hiney', 'hiney', 'cassie']",john,0,0.44,incorrect,john,0,0.44,incorrect,bayan talihsiz,0,0.31,incorrect,isim,0,0.4,incorrect,dam,0,0.22,incorrect,than,0,0.44,incorrect,butts,0,0.18,incorrect,maria,0,0.36,incorrect,john,0,0.44,incorrect,isim,0,0.4,incorrect,than,0,0.44,incorrect,maria,0,0.36,incorrect
"['parson', 'chuck', 'chuck parson']",john,0,0.4,incorrect,chris benoit,0,0.42,incorrect,arnold,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold,0,0.5,incorrect,duc,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect,arnold schwarzenegger,0,0.3,incorrect,chris benoit,0,0.42,incorrect,arnold schwarzenegger,0,0.3,incorrect,duc,0,0.5,incorrect,arnold schwarzenegger,0,0.3,incorrect
['chuck'],he,0,0.29,incorrect,god,0,0.0,incorrect,abd,0,0.0,incorrect,osmanli,0,0.0,incorrect,anh,0,0.25,incorrect,the,0,0.25,incorrect,el,0,0.0,incorrect,guerrero,0,0.15,incorrect,god,0,0.0,incorrect,osmanli,0,0.0,incorrect,the,0,0.25,incorrect,guerrero,0,0.15,incorrect
"['chuc', 'chuck']",him,0,0.29,incorrect,facebook,0,0.31,incorrect,hayat,0,0.22,incorrect,hayat,0,0.22,incorrect,no,0,0.0,incorrect,the,0,0.29,incorrect,ella,0,0.0,incorrect,noe,0,0.0,incorrect,facebook,0,0.31,incorrect,hayat,0,0.22,incorrect,the,0,0.29,incorrect,noe,0,0.0,incorrect
['angela'],jessica,0,0.31,incorrect,goldilocks,0,0.25,incorrect,noel baba,0,0.53,incorrect,noel,0,0.6,incorrect,anh,0,0.44,incorrect,noel,0,0.6,incorrect,maria,0,0.36,incorrect,santa claus,0,0.47,incorrect,goldilocks,0,0.25,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,santa claus,0,0.47,incorrect
['margo'],she,0,0.0,incorrect,spiderman,0,0.29,incorrect,arkadasim,0,0.29,incorrect,ben,0,0.0,incorrect,nguoi dan ong,0,0.22,incorrect,den,0,0.0,incorrect,el,0,0.0,incorrect,yo,0,0.29,incorrect,spiderman,0,0.29,incorrect,ben,0,0.0,incorrect,den,0,0.0,incorrect,yo,0,0.29,incorrect
['margo'],he,0,0.0,incorrect,he,0,0.0,incorrect,abraham lincoln,0,0.3,incorrect,cevabi,0,0.18,incorrect,chi,0,0.0,incorrect,thanh giuse,0,0.25,incorrect,alguien,0,0.33,incorrect,?mama?,0,0.36,incorrect,he,0,0.0,incorrect,cevabi,0,0.18,incorrect,thanh giuse,0,0.25,incorrect,?mama?,0,0.36,incorrect
"['margo—', 'margo']",tris,0,0.22,incorrect,friday,0,0.18,incorrect,peri,0,0.22,incorrect,ogretmen,0,0.15,incorrect,to,0,0.29,incorrect,the,0,0.0,incorrect,lucia,0,0.2,incorrect,manana,0,0.36,incorrect,friday,0,0.18,incorrect,ogretmen,0,0.15,incorrect,the,0,0.0,incorrect,manana,0,0.36,incorrect
['margo'],jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,nguoi dan ong,0,0.22,incorrect,jefferson,0,0.29,incorrect,mi hermano,0,0.4,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],she,0,0.0,incorrect,god,0,0.5,incorrect,stephen hawking,0,0.2,incorrect,albert einstein,0,0.2,incorrect,khong ro,0,0.31,incorrect,chang,0,0.4,incorrect,"el autor del texto, probablemente el narrador o un personaje, pero no se puede determinar con certeza. sin embargo, un personaje que se ajusta a este tipo de monologos es tyler durden, de la novela ""el club de la lucha"" de chuck palahniuk.",0,0.04,incorrect,google,0,0.36,incorrect,god,0,0.5,incorrect,albert einstein,0,0.2,incorrect,chang,0,0.4,incorrect,google,0,0.36,incorrect
