Single_ent,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['cassie', 'cassie hiney', 'hiney']",him,0,0.5,incorrect,eleanor,0,0.21,incorrect,emily,0,0.4,incorrect,isim,0,0.4,incorrect,thuc giang,0,0.4,incorrect,theresa,0,0.33,incorrect,shirley,0,0.67,incorrect,shirley,0,0.67,incorrect,eleanor,0,0.21,incorrect,isim,0,0.4,incorrect,theresa,0,0.33,incorrect,shirley,0,0.67,incorrect
"['parson', 'chuck parson', 'chuck']",rooster,0,0.31,incorrect,arnold,0,0.5,incorrect,ronald,0,0.5,incorrect,arnold,0,0.5,incorrect,bruno,0,0.36,incorrect,duc,0,0.5,incorrect,rambo,0,0.36,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,arnold,0,0.5,incorrect,duc,0,0.5,incorrect,arnold,0,0.5,incorrect
['chuck'],jacob,0,0.2,incorrect,elijah,0,0.18,incorrect,cin,0,0.25,incorrect,ataturk,0,0.33,incorrect,dung,0,0.22,incorrect,the,0,0.25,incorrect,godin,0,0.0,incorrect,guerra,0,0.18,incorrect,elijah,0,0.18,incorrect,ataturk,0,0.33,incorrect,the,0,0.25,incorrect,guerra,0,0.18,incorrect
"['chuck', 'chuc']",him,0,0.29,incorrect,facebook,0,0.31,incorrect,gatsby,0,0.0,incorrect,haydn,0,0.22,incorrect,thuy van,0,0.33,incorrect,thuc,0,0.75,correct,charlie,0,0.36,incorrect,shakespeare,0,0.25,incorrect,facebook,0,0.31,incorrect,haydn,0,0.22,incorrect,thuc,0,0.75,correct,shakespeare,0,0.25,incorrect
['angela'],jessica,0,0.31,incorrect,peter,0,0.18,incorrect,santa,0,0.55,incorrect,noel,0,0.6,incorrect,anh,0,0.44,incorrect,noel,0,0.6,incorrect,maria,0,0.36,incorrect,claudio,0,0.31,incorrect,peter,0,0.18,incorrect,noel,0,0.6,incorrect,noel,0,0.6,incorrect,claudio,0,0.31,incorrect
['margo'],jessica,0,0.17,incorrect,cinderella,0,0.13,incorrect,heathcliff,0,0.13,incorrect,ali,0,0.25,incorrect,nguoi ay,0,0.31,incorrect,emily,0,0.2,incorrect,luis,0,0.0,incorrect,jesus,0,0.0,incorrect,cinderella,0,0.13,incorrect,ali,0,0.25,incorrect,emily,0,0.2,incorrect,jesus,0,0.0,incorrect
['margo'],ender,0,0.2,incorrect,dad,0,0.25,incorrect,oguz,0,0.22,incorrect,abraham,0,0.33,incorrect,nguyen,0,0.18,incorrect,jesus,0,0.0,incorrect,jose,0,0.22,incorrect,papa,0,0.22,incorrect,dad,0,0.25,incorrect,abraham,0,0.33,incorrect,jesus,0,0.0,incorrect,papa,0,0.22,incorrect
"['margo—', 'margo']",charlie,0,0.33,incorrect,friday,0,0.18,incorrect,jo,0,0.29,incorrect,annem,0,0.2,incorrect,han,0,0.25,incorrect,the,0,0.0,incorrect,alicia,0,0.18,incorrect,manana,0,0.36,incorrect,friday,0,0.18,incorrect,annem,0,0.2,incorrect,the,0,0.0,incorrect,manana,0,0.36,incorrect
['margo'],someone,0,0.33,incorrect,minivan,0,0.33,incorrect,jefferson,0,0.29,incorrect,thomas,0,0.36,incorrect,nguoi ban,0,0.29,incorrect,jefferson,0,0.29,incorrect,juan,0,0.22,incorrect,jefferson,0,0.29,incorrect,minivan,0,0.33,incorrect,thomas,0,0.36,incorrect,jefferson,0,0.29,incorrect,jefferson,0,0.29,incorrect
['margo'],angel,0,0.4,incorrect,emily,0,0.2,incorrect,diogenes,0,0.15,incorrect,platon,0,0.36,incorrect,haruki,0,0.36,incorrect,nguyen dinh chieu,0,0.09,incorrect,el autor del libro,0,0.26,incorrect,eva,0,0.25,incorrect,emily,0,0.2,incorrect,platon,0,0.36,incorrect,nguyen dinh chieu,0,0.09,incorrect,eva,0,0.25,incorrect
