Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['john', 'dashwood', 'mr john dashwood', 'john daswood', 'daswood', 'mr', 'john dashwood']",abraham,0,0.27,incorrect,oba,0,0.29,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.14,incorrect,mme rona tshwanetse,0,0.46,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,mora,0,0.67,incorrect,empa,0,0.33,incorrect,oba,0,0.29,incorrect,mme rona tshwanetse,0,0.46,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,mora,0,0.67,incorrect,john,1,1.0,correct,john,1,1.0,correct,hester,0,0.25,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,hester,0,0.25,incorrect,padre,0,0.33,incorrect,isa,0,0.2,incorrect,john,1,1.0,correct,hester,0,0.25,incorrect,hester,0,0.25,incorrect,isa,0,0.2,incorrect
"['john', 'dashwood', 'john daswood', 'mrs john dashwood', 'daswood', 'john dashwood', 'mrs']",hester,0,0.22,incorrect,ninu,0,0.25,incorrect,hester,0,0.22,incorrect,gonne,0,0.44,incorrect,hester,0,0.22,incorrect,ahiri,0,0.31,incorrect,s. [mask],0,0.33,incorrect,hester,0,0.22,incorrect,s. [mask],0,0.33,incorrect,s. izy,0,0.22,incorrect,hobane,0,0.4,incorrect,ninu,0,0.25,incorrect,gonne,0,0.44,incorrect,ahiri,0,0.31,incorrect,hester,0,0.22,incorrect,s. izy,0,0.22,incorrect,s. [mask],0,0.33,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,nhung,0,0.44,incorrect,hester,0,0.22,incorrect,juan,0,0.5,incorrect,hester,0,0.22,incorrect,hester,0,0.22,incorrect,nhung,0,0.44,incorrect,juan,0,0.5,incorrect
"['harry', 'henry']",hester,0,0.55,incorrect,akoko,0,0.2,incorrect,mme,0,0.25,incorrect,mme,0,0.25,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,raha,0,0.44,incorrect,monna,0,0.2,incorrect,akoko,0,0.2,incorrect,mme,0,0.25,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,raha,0,0.44,incorrect,john,0,0.44,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,gia,0,0.25,incorrect,hester,0,0.55,incorrect,juan,0,0.22,incorrect,hester,0,0.55,incorrect,hester,0,0.55,incorrect,gia,0,0.25,incorrect,juan,0,0.22,incorrect
"['dashwood', 'norland', 'señora dashwood', 'señora', 'daswood', 'mrs', 'mrs dashwood norland']",norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,s. [mask],0,0.33,incorrect,norrland,0,0.93,correct,norland,1,1.0,correct,norlandy,0,0.93,correct,empa hobane,0,0.39,incorrect,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,norrland,0,0.93,correct,norlandy,0,0.93,correct,norland,1,1.0,correct,norland,1,1.0,correct,fanny,0,0.33,incorrect,norland,1,1.0,correct,norland,1,1.0,correct,hester,0,0.5,incorrect,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,norland,1,1.0,correct,hester,0,0.5,incorrect,norland,1,1.0,correct
"['elinor', 'elinor—']",hester,0,0.33,incorrect,ogunwusi,0,0.14,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.07,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,ahiri,0,0.36,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,raja,0,0.2,incorrect,empa,0,0.2,incorrect,ogunwusi,0,0.14,incorrect,hester,0,0.33,incorrect,ahiri,0,0.36,incorrect,hester,0,0.33,incorrect,raja,0,0.2,incorrect,sir joshua reynolds,0,0.24,incorrect,he,0,0.25,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,[mask],0,0.0,incorrect,hester,0,0.33,incorrect,he,0,0.25,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect
['elinor'],john,0,0.2,incorrect,hester,0,0.33,incorrect,mme tshwanetse,0,0.2,incorrect,mme rona tshwanetse,0,0.16,incorrect,hester,0,0.33,incorrect,aita,0,0.2,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,azoko,0,0.18,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,mme rona tshwanetse,0,0.16,incorrect,aita,0,0.2,incorrect,hester,0,0.33,incorrect,azoko,0,0.18,incorrect,miss,0,0.2,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,chi,0,0.22,incorrect,ana,0,0.22,incorrect,ana,0,0.22,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,chi,0,0.22,incorrect,ana,0,0.22,incorrect
['edward'],hester,0,0.33,incorrect,sibesibe,0,0.14,incorrect,hester,0,0.33,incorrect,tshwanang,0,0.27,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,ary,0,0.44,incorrect,hester,0,0.33,incorrect,sibesibe,0,0.14,incorrect,tshwanang,0,0.27,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,ary,0,0.44,incorrect,fanny,0,0.18,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect,hester,0,0.33,incorrect
"['albay', 'albay brandon', 'brandon']",colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,mme,0,0.0,incorrect,mma,0,0.25,incorrect,colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,kolonel,0,0.3,incorrect,salomona,0,0.46,incorrect,colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,mma,0,0.25,incorrect,colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,salomona,0,0.46,incorrect,colonel,0,0.3,incorrect,colonel,0,0.3,incorrect,hester,0,0.15,incorrect,yirmi,0,0.22,incorrect,taylor,0,0.36,incorrect,hester,0,0.15,incorrect,colonel,0,0.3,incorrect,mama,0,0.44,incorrect,colonel,0,0.3,incorrect,yirmi,0,0.22,incorrect,hester,0,0.15,incorrect,mama,0,0.44,incorrect
"['marianne', 'marianne—']",flannel,0,0.53,incorrect,pain,0,0.5,incorrect,"mme o ne a bua ka di-flannel tsa di-blades,"" [mask] said; 'go na le ditshika tse di rurufetseng tse di rurufetseng, tse di rurufetseng, tse di rurufetseng, le mefuta e mengwe le mengwe ya malwetse a a ka dirang gore motho yo o tsofetseng le yo o sa foleng.'",0,0.06,incorrect,mme rurufetseng,0,0.26,incorrect,hester,0,0.14,incorrect,tera,0,0.33,incorrect,flanelle,0,0.38,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,ary,0,0.36,incorrect,hester,0,0.14,incorrect,pain,0,0.5,incorrect,mme rurufetseng,0,0.26,incorrect,tera,0,0.33,incorrect,hester,0,0.14,incorrect,ary,0,0.36,incorrect,miss,0,0.33,incorrect,dr. benjamin rush,0,0.24,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,[mask],0,0.29,incorrect,franela,0,0.53,incorrect,dr. benjamin rush,0,0.24,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,franela,0,0.53,incorrect
['marianne'],hester,0,0.14,incorrect,jewo,0,0.17,incorrect,"mme re tshwanetse ra re, [mask] le fa go ntse jalo, go ne go na le boammaaruri jo bogolo go feta mo tumelong ya rona ya gompieno.",0,0.12,incorrect,fa,0,0.2,incorrect,hester,0,0.14,incorrect,ahiri,0,0.46,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,miaiky,0,0.43,incorrect,na le,0,0.31,incorrect,jewo,0,0.17,incorrect,fa,0,0.2,incorrect,ahiri,0,0.46,incorrect,hester,0,0.14,incorrect,miaiky,0,0.43,incorrect,patient,0,0.4,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect,hester,0,0.14,incorrect
