Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['chad'],john,0,0.25,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['chad'],my best friend,0,0.11,incorrect,charm,0,0.67,incorrect,charm,0,0.67,incorrect
['chad'],hope,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['chad'],brussels griffon,0,0.0,incorrect,brussels griffon,0,0.0,incorrect,brussels griffon,0,0.0,incorrect
['maddy'],scarlett,0,0.15,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect
['maddy'],she,0,0.0,incorrect,rocky,0,0.2,incorrect,rocky,0,0.2,incorrect
['maddy'],he,0,0.0,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['brad'],max,0,0.29,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['brad'],my best friend,0,0.33,incorrect,joe,0,0.0,incorrect,joe,0,0.0,incorrect
['brad'],john,0,0.0,incorrect,mark,0,0.25,incorrect,mark,0,0.25,incorrect
['brad'],justin,0,0.0,incorrect,destiny,0,0.18,incorrect,destiny,0,0.18,incorrect
['lutsen'],asheville,0,0.27,incorrect,october,0,0.31,incorrect,october,0,0.31,incorrect
['brad'],dean,0,0.25,incorrect,god,0,0.29,incorrect,god,0,0.29,incorrect
['brad'],mike,0,0.0,incorrect,sheila,0,0.2,incorrect,sheila,0,0.2,incorrect
['brad'],carrie,0,0.2,incorrect,destiny,0,0.18,incorrect,destiny,0,0.18,incorrect
['brad'],mike,0,0.0,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['maddy'],she,0,0.0,incorrect,joe,0,0.0,incorrect,joe,0,0.0,incorrect
['maddy'],emily,0,0.4,incorrect,emily,0,0.4,incorrect,emily,0,0.4,incorrect
['emma'],hey,0,0.29,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['brad'],carrie,0,0.2,incorrect,lucifer,0,0.18,incorrect,lucifer,0,0.18,incorrect
['brad'],chidi,0,0.22,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['maddy'],emily,0,0.4,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
['maddy'],angela,0,0.18,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect
['maddy'],my mother,0,0.29,incorrect,norma,0,0.4,incorrect,norma,0,0.4,incorrect
['amber'],she,0,0.25,incorrect,florida,0,0.17,incorrect,florida,0,0.17,incorrect
['maddy'],augustus,0,0.15,incorrect,charlotte,0,0.14,incorrect,charlotte,0,0.14,incorrect
['maddy'],me,0,0.29,incorrect,joan,0,0.22,incorrect,joan,0,0.22,incorrect
['muse'],queen,0,0.44,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect
['maddy'],esme,0,0.22,incorrect,bella,0,0.2,incorrect,bella,0,0.2,incorrect
['maddy'],he,0,0.0,incorrect,van gogh,0,0.15,incorrect,van gogh,0,0.15,incorrect
['maddy'],john,0,0.0,incorrect,atlanta,0,0.17,incorrect,atlanta,0,0.17,incorrect
['brad'],rowan,0,0.44,incorrect,reddit,0,0.4,incorrect,reddit,0,0.4,incorrect
['maddy'],emily,0,0.4,incorrect,joe,0,0.0,incorrect,joe,0,0.0,incorrect
['emma'],emma,1,1.0,correct,john,0,0.0,incorrect,john,0,0.0,incorrect
['alex'],jason,0,0.22,incorrect,john,0,0.0,incorrect,john,0,0.0,incorrect
