Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],ethan,0,0.44,incorrect,heathcliff,0,0.14,incorrect,heathcliff,0,0.14,incorrect
['ryan'],jack,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],adam,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],joe,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect
['ryan'],heathcliff,0,0.14,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect
['ryan'],ethan,0,0.44,incorrect,edward,0,0.2,incorrect,edward,0,0.2,incorrect
['ryan'],christian,0,0.46,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],christian,0,0.46,incorrect,harry,0,0.44,incorrect,harry,0,0.44,incorrect
['ryan'],john,0,0.25,incorrect,forbing,0,0.36,incorrect,forbing,0,0.36,incorrect
['pat'],max,0,0.33,incorrect,jason,0,0.25,incorrect,jason,0,0.25,incorrect
['pat'],max,0,0.33,incorrect,ryan,0,0.29,incorrect,ryan,0,0.29,incorrect
['pat'],goodwill,0,0.0,incorrect,goodwill,0,0.0,incorrect,goodwill,0,0.0,incorrect
['pat'],john,0,0.0,incorrect,joe,0,0.0,incorrect,joe,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,cvs,0,0.0,incorrect,cvs,0,0.0,incorrect
['ryan'],max,0,0.29,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],her,0,0.29,incorrect,aaron,0,0.44,incorrect,aaron,0,0.44,incorrect
['shawna'],brittany,0,0.29,incorrect,scarlett,0,0.29,incorrect,scarlett,0,0.29,incorrect
['ryan'],he,0,0.0,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],john,0,0.25,incorrect,george,0,0.2,incorrect,george,0,0.2,incorrect
['ryan'],emily,0,0.22,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],max,0,0.29,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['rogers'],mrs. dubose,0,0.35,incorrect,mayella,0,0.15,incorrect,mayella,0,0.15,incorrect
['rogers'],jones,0,0.55,incorrect,emma,0,0.2,incorrect,emma,0,0.2,incorrect
['ryan'],adam,0,0.25,incorrect,tom,0,0.0,incorrect,tom,0,0.0,incorrect
['ryan'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],hardin,0,0.4,incorrect,elvis,0,0.0,incorrect,elvis,0,0.0,incorrect
['ryan'],rhys,0,0.5,incorrect,heathcliff,0,0.14,incorrect,heathcliff,0,0.14,incorrect
['ryan'],edward,0,0.2,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['ryan'],he,0,0.0,incorrect,charlie,0,0.18,incorrect,charlie,0,0.18,incorrect
['ryan'],he,0,0.0,incorrect,he,0,0.0,incorrect,he,0,0.0,incorrect
['sara'],emily,0,0.0,incorrect,of,0,0.0,incorrect,of,0,0.0,incorrect
['ryan'],he,0,0.0,incorrect,offred,0,0.2,incorrect,offred,0,0.2,incorrect
['sara'],amma,0,0.5,incorrect,barbie,0,0.4,incorrect,barbie,0,0.4,incorrect
['ryan'],john,0,0.25,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['ryan'],christian,0,0.46,incorrect,iphone,0,0.2,incorrect,iphone,0,0.2,incorrect
"['hot browns', 'hot', 'browns']",churchill downs,0,0.48,incorrect,churchill,0,0.21,incorrect,churchill,0,0.21,incorrect
['bama'],university of alabama,0,0.32,incorrect,brookwood,0,0.15,incorrect,brookwood,0,0.15,incorrect
['ryan'],simon,0,0.22,incorrect,warren,0,0.4,incorrect,warren,0,0.4,incorrect
['ryan'],my father,0,0.31,incorrect,jason,0,0.44,incorrect,jason,0,0.44,incorrect
['ryan'],ethan,0,0.44,incorrect,christian,0,0.46,incorrect,christian,0,0.46,incorrect
['sara'],emily,0,0.0,incorrect,edward,0,0.4,incorrect,edward,0,0.4,incorrect
['ryan'],ethan,0,0.44,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],christian,0,0.46,incorrect,ethan,0,0.44,incorrect,ethan,0,0.44,incorrect
['ryan'],ethan,0,0.44,incorrect,julian,0,0.4,incorrect,julian,0,0.4,incorrect
['ryan'],emily,0,0.22,incorrect,veronica,0,0.33,incorrect,veronica,0,0.33,incorrect
['ryan'],beau,0,0.25,incorrect,harold,0,0.2,incorrect,harold,0,0.2,incorrect
['ryan'],adam,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],he,0,0.0,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],derby,0,0.44,incorrect,monticello,0,0.14,incorrect,monticello,0,0.14,incorrect
['ryan'],brody,0,0.44,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['james'],he,0,0.29,incorrect,italian,0,0.17,incorrect,italian,0,0.17,incorrect
['ryan'],max,0,0.29,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['eden'],paris,0,0.0,incorrect,scarlett,0,0.17,incorrect,scarlett,0,0.17,incorrect
['rockefeller'],rockefeller,1,1.0,correct,emily,0,0.25,incorrect,emily,0,0.25,incorrect
['mama'],mom,0,0.57,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['lucca'],emma,0,0.22,incorrect,emily,0,0.2,incorrect,emily,0,0.2,incorrect
['mama'],grandma,0,0.55,incorrect,carolina,0,0.33,incorrect,carolina,0,0.33,incorrect
['mama'],mom,0,0.57,incorrect,jonbenet ramsey,0,0.21,incorrect,jonbenet ramsey,0,0.21,incorrect
['eden'],cambridge,0,0.31,incorrect,estella,0,0.36,incorrect,estella,0,0.36,incorrect
['ryan'],christian,0,0.46,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['ryan'],ethan,0,0.44,incorrect,ethan,0,0.44,incorrect,ethan,0,0.44,incorrect
['ryan'],christian,0,0.46,incorrect,waiter,0,0.2,incorrect,waiter,0,0.2,incorrect
['ryan'],christian,0,0.46,incorrect,marcel,0,0.2,incorrect,marcel,0,0.2,incorrect
['ryan'],freud,0,0.22,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['beth'],scarlett,0,0.33,incorrect,scarlett,0,0.33,incorrect,scarlett,0,0.33,incorrect
['beth'],chloe,0,0.22,incorrect,jack,0,0.0,incorrect,jack,0,0.0,incorrect
['ryan'],jack,0,0.25,incorrect,cancun,0,0.4,incorrect,cancun,0,0.4,incorrect
['ryan'],hardin,0,0.4,incorrect,handsy,0,0.4,incorrect,handsy,0,0.4,incorrect
['james'],john,0,0.22,incorrect,estella,0,0.33,incorrect,estella,0,0.33,incorrect
['ryan'],ethan,0,0.44,incorrect,edward,0,0.2,incorrect,edward,0,0.2,incorrect
['ryan'],christian,0,0.46,incorrect,charlie,0,0.18,incorrect,charlie,0,0.18,incorrect
['ryan'],ethan,0,0.44,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['lucca'],josh,0,0.0,incorrect,jack,0,0.22,incorrect,jack,0,0.22,incorrect
