Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
"['ruth crawford', 'crawford', 'ruth']",barbara walters,0,0.36,incorrect,godzilla,0,0.25,incorrect,godzilla,0,0.25,incorrect
['mark'],john,0,0.0,incorrect,elizabeth,0,0.15,incorrect,elizabeth,0,0.15,incorrect
['butch'],norman rockwell,0,0.1,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect
['crawford'],warren,0,0.29,incorrect,pop,0,0.18,incorrect,pop,0,0.18,incorrect
['dave'],john,0,0.0,incorrect,emily,0,0.22,incorrect,emily,0,0.22,incorrect
['butch'],elvis,0,0.0,incorrect,elvis,0,0.0,incorrect,elvis,0,0.0,incorrect
['alden'],earl,0,0.44,incorrect,scout,0,0.0,incorrect,scout,0,0.0,incorrect
['carmody'],pop,0,0.2,incorrect,storm,0,0.33,incorrect,storm,0,0.33,incorrect
"['ruth crawford', 'crawford', 'ruth']",thelma,0,0.4,incorrect,koffee,0,0.14,incorrect,koffee,0,0.14,incorrect
"['ruth crawford', 'crawford', 'ruth']",carrie,0,0.43,incorrect,emily,0,0.0,incorrect,emily,0,0.0,incorrect
['crawford'],clinton,0,0.27,incorrect,ms. muffin,0,0.11,incorrect,ms. muffin,0,0.11,incorrect
['dave'],your father,0,0.27,incorrect,wimpy,0,0.0,incorrect,wimpy,0,0.0,incorrect
['dave'],jack,0,0.25,incorrect,harley,0,0.4,incorrect,harley,0,0.4,incorrect
"['butch', 'uncle butch', 'uncle']",warhol,0,0.18,incorrect,warhol,0,0.18,incorrect,warhol,0,0.18,incorrect
['hathaway'],roberts,0,0.13,incorrect,roberts,0,0.13,incorrect,roberts,0,0.13,incorrect
['butch'],thranduil,0,0.29,incorrect,chris,0,0.4,incorrect,chris,0,0.4,incorrect
"['robert johnson', 'johnson', 'robert']",robert johnson,1,1.0,correct,lucifer,0,0.31,incorrect,lucifer,0,0.31,incorrect
['ruth'],miss maudie,0,0.13,incorrect,toyota,0,0.2,incorrect,toyota,0,0.2,incorrect
['carmody'],king,0,0.0,incorrect,pop,0,0.2,incorrect,pop,0,0.2,incorrect
['ruth'],pop,0,0.0,incorrect,poppy,0,0.0,incorrect,poppy,0,0.0,incorrect
"['ruth crawford', 'crawford', 'ruth']",john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['mark'],he,0,0.0,incorrect,stephen king,0,0.12,incorrect,stephen king,0,0.12,incorrect
['pop'],atticus,0,0.0,incorrect,tom,0,0.33,incorrect,tom,0,0.33,incorrect
['butch'],henry,0,0.2,incorrect,chilkoot,0,0.31,incorrect,chilkoot,0,0.31,incorrect
['ruth'],she,0,0.29,incorrect,harry,0,0.22,incorrect,harry,0,0.22,incorrect
"['ruth crawford', 'crawford', 'ruth']",yankee,0,0.14,incorrect,pop,0,0.18,incorrect,pop,0,0.18,incorrect
['mark'],john,0,0.0,incorrect,box,0,0.0,incorrect,box,0,0.0,incorrect
['tommy'],george,0,0.18,incorrect,jack kerouac,0,0.12,incorrect,jack kerouac,0,0.12,incorrect
['ruth'],thoreau,0,0.36,incorrect,mother,0,0.4,incorrect,mother,0,0.4,incorrect
"['elway', 'jack elway', 'jack']",charlie,0,0.24,incorrect,fire,0,0.22,incorrect,fire,0,0.22,incorrect
"['butch', 'uncle butch', 'uncle']",diego rivera,0,0.17,incorrect,bob,0,0.25,incorrect,bob,0,0.25,incorrect
"['ruth crawford', 'crawford', 'ruth']",john,0,0.25,incorrect,benson,0,0.14,incorrect,benson,0,0.14,incorrect
['benson'],maple,0,0.18,incorrect,steve,0,0.18,incorrect,steve,0,0.18,incorrect
['patel'],she,0,0.25,incorrect,doctor,0,0.18,incorrect,doctor,0,0.18,incorrect
['butch'],stu,0,0.25,incorrect,jack,0,0.22,incorrect,jack,0,0.22,incorrect
['mark'],ordway,0,0.2,incorrect,ordway,0,0.2,incorrect,ordway,0,0.2,incorrect
['nellybelle'],willys,0,0.38,incorrect,johnson,0,0.12,incorrect,johnson,0,0.12,incorrect
['butch'],stradlater,0,0.13,incorrect,bootheels,0,0.43,incorrect,bootheels,0,0.43,incorrect
['butch'],jed clampett,0,0.12,incorrect,nellybelle,0,0.13,incorrect,nellybelle,0,0.13,incorrect
['butch'],jim bob,0,0.17,incorrect,nellybelle,0,0.13,incorrect,nellybelle,0,0.13,incorrect
['butch'],harry,0,0.2,incorrect,jason,0,0.0,incorrect,jason,0,0.0,incorrect
['butch'],dean,0,0.0,incorrect,michael,0,0.33,incorrect,michael,0,0.33,incorrect
['butch'],stephen,0,0.33,incorrect,bradbury,0,0.31,incorrect,bradbury,0,0.31,incorrect
['butch'],john,0,0.22,incorrect,richard,0,0.33,incorrect,richard,0,0.33,incorrect
['butch'],stephen king,0,0.24,incorrect,ansel adams,0,0.0,incorrect,ansel adams,0,0.0,incorrect
['butch'],he,0,0.29,incorrect,heathcliff,0,0.27,incorrect,heathcliff,0,0.27,incorrect
['butch'],john,0,0.22,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect
['butch'],thad,0,0.44,incorrect,john,0,0.22,incorrect,john,0,0.22,incorrect
['butch'],myron,0,0.0,incorrect,willy,0,0.0,incorrect,willy,0,0.0,incorrect
