Single_ent,yo_results,yo_exact_match,yo_highest_fuzzy_match,yo_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_results,tn_exact_match,tn_highest_fuzzy_match,tn_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_results,ty_exact_match,ty_highest_fuzzy_match,ty_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_results,mai_exact_match,mai_highest_fuzzy_match,mai_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_results,mg_exact_match,mg_highest_fuzzy_match,mg_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,st_shuffled_results,st_shuffled_exact_match,st_shuffled_highest_fuzzy_match,st_shuffled_correct,yo_shuffled_results,yo_shuffled_exact_match,yo_shuffled_highest_fuzzy_match,yo_shuffled_correct,tn_shuffled_results,tn_shuffled_exact_match,tn_shuffled_highest_fuzzy_match,tn_shuffled_correct,ty_shuffled_results,ty_shuffled_exact_match,ty_shuffled_highest_fuzzy_match,ty_shuffled_correct,mai_shuffled_results,mai_shuffled_exact_match,mai_shuffled_highest_fuzzy_match,mai_shuffled_correct,mg_shuffled_results,mg_shuffled_exact_match,mg_shuffled_highest_fuzzy_match,mg_shuffled_correct,en_results,en_exact_match,en_highest_fuzzy_match,en_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_results,tr_exact_match,tr_highest_fuzzy_match,tr_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_results,vi_exact_match,vi_highest_fuzzy_match,vi_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_results,es_exact_match,es_highest_fuzzy_match,es_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct,en_shuffled_results,en_shuffled_exact_match,en_shuffled_highest_fuzzy_match,en_shuffled_correct,tr_shuffled_results,tr_shuffled_exact_match,tr_shuffled_highest_fuzzy_match,tr_shuffled_correct,vi_shuffled_results,vi_shuffled_exact_match,vi_shuffled_highest_fuzzy_match,vi_shuffled_correct,es_shuffled_results,es_shuffled_exact_match,es_shuffled_highest_fuzzy_match,es_shuffled_correct
"['jalil', 'yalil', 'celil']",noah,0,0.22,incorrect,abraham,0,0.17,incorrect,jesus,0,0.2,incorrect,adam,0,0.22,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,job,0,0.25,incorrect,god,0,0.0,incorrect,adam,0,0.22,incorrect,abraham,0,0.17,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,benim,0,0.4,incorrect,noah,0,0.22,incorrect,chua,0,0.22,incorrect,adam,0,0.22,incorrect,god,0,0.0,incorrect,noe,0,0.25,incorrect,god,0,0.0,incorrect,noah,0,0.22,incorrect,adam,0,0.22,incorrect,noe,0,0.25,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",job,0,0.8,correct,esther,0,0.33,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,abraham,0,0.62,incorrect,abraham,0,0.62,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,eden,0,0.4,incorrect,god,0,0.4,incorrect,esther,0,0.33,incorrect,god,0,0.4,incorrect,abraham,0,0.62,incorrect,god,0,0.4,incorrect,eden,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,annem,0,0.36,incorrect,ibrahim,0,0.46,incorrect,duc jesus,0,0.22,incorrect,duc,0,0.4,incorrect,hija,0,0.4,incorrect,agamenon,0,0.47,incorrect,god,0,0.4,incorrect,ibrahim,0,0.46,incorrect,duc,0,0.4,incorrect,agamenon,0,0.47,incorrect
"['faizu', 'feyzullah', 'molla feyzullah', 'faizullah', 'faizulá', 'mullah faizullah', 'mullah', 'molla']",heathcliff,0,0.32,incorrect,esther,0,0.27,incorrect,joseph,0,0.29,incorrect,ali baba,0,0.4,incorrect,adam,0,0.36,incorrect,god,0,0.25,incorrect,heathcliff,0,0.32,incorrect,lotus,0,0.2,incorrect,job,0,0.25,incorrect,job,0,0.25,incorrect,ali baba,0,0.4,incorrect,esther,0,0.27,incorrect,ali baba,0,0.4,incorrect,god,0,0.25,incorrect,lotus,0,0.2,incorrect,job,0,0.25,incorrect,mr. mahmoud,0,0.35,incorrect,heathcliff,0,0.32,incorrect,ali,0,0.5,incorrect,ali,0,0.5,incorrect,hoan,0,0.44,incorrect,thuy kieu,0,0.32,incorrect,abdala,0,0.46,incorrect,ali,0,0.5,incorrect,heathcliff,0,0.32,incorrect,ali,0,0.5,incorrect,thuy kieu,0,0.32,incorrect,ali,0,0.5,incorrect
"['mil', 'jalil', 'yalil', 'celil']",esther,0,0.18,incorrect,esther,0,0.18,incorrect,martha,0,0.22,incorrect,martha,0,0.22,incorrect,herod,0,0.2,incorrect,esther,0,0.18,incorrect,shakespeare,0,0.12,incorrect,shakespeare,0,0.12,incorrect,adam,0,0.29,incorrect,adama,0,0.25,incorrect,michelangelo,0,0.47,incorrect,esther,0,0.18,incorrect,martha,0,0.22,incorrect,esther,0,0.18,incorrect,shakespeare,0,0.12,incorrect,adama,0,0.25,incorrect,joseph,0,0.18,incorrect,abigail,0,0.5,incorrect,ibrahim,0,0.33,incorrect,cenesinin,0,0.43,incorrect,pharao,0,0.18,incorrect,nguyen,0,0.18,incorrect,maria,0,0.5,incorrect,maria,0,0.5,incorrect,abigail,0,0.5,incorrect,cenesinin,0,0.43,incorrect,nguyen,0,0.18,incorrect,maria,0,0.5,incorrect
"['lili lili', 'mi', 'lili', 'lili mi']",jack,0,0.0,incorrect,ice,0,0.4,incorrect,noah,0,0.0,incorrect,joseph,0,0.0,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minno,0,0.57,incorrect,water,0,0.0,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,ice,0,0.4,incorrect,joseph,0,0.0,incorrect,minnow,0,0.5,incorrect,water,0,0.0,incorrect,minnow,0,0.5,incorrect,minnow's,0,0.4,incorrect,emily,0,0.57,incorrect,nasrettin hoca,0,0.19,incorrect,inci,0,0.5,incorrect,thach sanh,0,0.12,incorrect,noah,0,0.0,incorrect,minnow,0,0.5,incorrect,minnow,0,0.5,incorrect,emily,0,0.57,incorrect,inci,0,0.5,incorrect,noah,0,0.0,incorrect,minnow,0,0.5,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",abraham,0,0.62,incorrect,esther,0,0.33,incorrect,mopodi,0,0.33,incorrect,google,0,0.25,incorrect,esther,0,0.33,incorrect,eve,0,0.44,incorrect,emily,0,0.36,incorrect,sound,0,0.29,incorrect,marina,0,0.83,correct,marina,0,0.83,correct,lea,0,0.22,incorrect,esther,0,0.33,incorrect,google,0,0.25,incorrect,eve,0,0.44,incorrect,sound,0,0.29,incorrect,marina,0,0.83,correct,son,0,0.4,incorrect,tv,0,0.0,incorrect,charlie,0,0.46,incorrect,annen,0,0.18,incorrect,con,0,0.8,correct,am nhac,0,0.38,incorrect,hijo,0,0.67,incorrect,epson,0,0.29,incorrect,tv,0,0.0,incorrect,annen,0,0.18,incorrect,am nhac,0,0.38,incorrect,epson,0,0.29,incorrect
"['meryem gari', 'gari', 'meryem', 'mariam']",oliver twist,0,0.35,incorrect,heathcliff,0,0.29,incorrect,disneyland,0,0.29,incorrect,disney,0,0.33,incorrect,robinson crusoe,0,0.23,incorrect,heathcliff,0,0.29,incorrect,,0,0.29,incorrect,robinson crusoe,0,0.23,incorrect,aladdin,0,0.36,incorrect,aladdin,0,0.36,incorrect,samarkand,0,0.53,incorrect,heathcliff,0,0.29,incorrect,disney,0,0.33,incorrect,heathcliff,0,0.29,incorrect,robinson crusoe,0,0.23,incorrect,aladdin,0,0.36,incorrect,miriam,0,0.83,correct,camels,0,0.33,incorrect,meryem,1,1.0,correct,isa,0,0.44,incorrect,ong lao,0,0.36,incorrect,tra,0,0.44,incorrect,el narrador,0,0.36,incorrect,marco polo,0,0.38,incorrect,camels,0,0.33,incorrect,isa,0,0.44,incorrect,tra,0,0.44,incorrect,marco polo,0,0.38,incorrect
"['celil han', 'jan', 'han', 'jalil khan', 'celil', 'jalil', 'khan', 'yalil jan', 'yalil', 'chính', 'chính jalil khan']",oliver,0,0.36,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,abel,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,shebang,0,0.6,incorrect,god,0,0.0,incorrect,abel,0,0.44,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,god,0,0.0,incorrect,mom,0,0.0,incorrect,mr. spock,0,0.21,incorrect,babam,0,0.29,incorrect,babam,0,0.29,incorrect,jalil khan,1,1.0,correct,jalil,1,1.0,correct,el jefe,0,0.38,incorrect,el senor,0,0.47,incorrect,mr. spock,0,0.21,incorrect,babam,0,0.29,incorrect,jalil,1,1.0,correct,el senor,0,0.47,incorrect
['nana'],jesus,0,0.0,incorrect,abraham,0,0.36,incorrect,jesus,0,0.0,incorrect,israel,0,0.2,incorrect,adam,0,0.5,incorrect,eve,0,0.0,incorrect,god,0,0.0,incorrect,adam,0,0.5,incorrect,god,0,0.0,incorrect,marina,0,0.6,incorrect,samson,0,0.4,incorrect,abraham,0,0.36,incorrect,israel,0,0.2,incorrect,eve,0,0.0,incorrect,adam,0,0.5,incorrect,marina,0,0.6,incorrect,her father,0,0.14,incorrect,mother,0,0.0,incorrect,annesi,0,0.4,incorrect,gozleri,0,0.0,incorrect,me,0,0.0,incorrect,duc,0,0.0,incorrect,su padre,0,0.17,incorrect,adan,0,0.5,incorrect,mother,0,0.0,incorrect,gozleri,0,0.0,incorrect,duc,0,0.0,incorrect,adan,0,0.5,incorrect
"['mariam jo', 'meryem co', 'mariam', 'co', 'jo', 'meryem']",abraham,0,0.62,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,abraham,0,0.62,incorrect,god,0,0.4,incorrect,heathcliff,0,0.25,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,god,0,0.4,incorrect,heathcliff,0,0.25,incorrect,attic,0,0.36,incorrect,bayan,0,0.36,incorrect,ust,0,0.0,incorrect,con trai,0,0.4,incorrect,god,0,0.4,incorrect,maria,0,0.91,correct,edgar,0,0.36,incorrect,attic,0,0.36,incorrect,ust,0,0.0,incorrect,god,0,0.4,incorrect,edgar,0,0.36,incorrect
