Single_ent,en_masked_results,en_masked_exact_match,en_masked_highest_fuzzy_match,en_masked_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct,en_masked_shuffled_results,en_masked_shuffled_exact_match,en_masked_shuffled_highest_fuzzy_match,en_masked_shuffled_correct
['adela'],annabelle,0,0.43,incorrect,hayden,0,0.55,incorrect,hayden,0,0.55,incorrect
['adela'],maria,0,0.4,incorrect,wards,0,0.4,incorrect,wards,0,0.4,incorrect
"['graham gore', 'graham', 'gore']",james fitzjames,0,0.31,incorrect,franklin,0,0.29,incorrect,franklin,0,0.29,incorrect
['gore'],charles dickens,0,0.21,incorrect,charles,0,0.36,incorrect,charles,0,0.36,incorrect
['mm'],john,0,0.0,incorrect,refrigerator,0,0.0,incorrect,refrigerator,0,0.0,incorrect
['gore'],john,0,0.25,incorrect,mark,0,0.25,incorrect,mark,0,0.25,incorrect
['gore'],smith,0,0.0,incorrect,moby,0,0.25,incorrect,moby,0,0.25,incorrect
['gore'],horatio,0,0.36,incorrect,heath,0,0.22,incorrect,heath,0,0.22,incorrect
['gore'],tom,0,0.29,incorrect,ministry,0,0.17,incorrect,ministry,0,0.17,incorrect
['gore'],captain,0,0.0,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['gore'],john,0,0.25,incorrect,michael,0,0.18,incorrect,michael,0,0.18,incorrect
['gore'],john,0,0.25,incorrect,he,0,0.33,incorrect,he,0,0.33,incorrect
['gore'],john,0,0.25,incorrect,smith,0,0.0,incorrect,smith,0,0.0,incorrect
['stanley'],mr. darcy,0,0.25,incorrect,he,0,0.22,incorrect,he,0,0.22,incorrect
['gore'],john,0,0.25,incorrect,john,0,0.25,incorrect,john,0,0.25,incorrect
['gore'],franklin,0,0.17,incorrect,arctic,0,0.2,incorrect,arctic,0,0.2,incorrect
['gore'],john,0,0.25,incorrect,ministry,0,0.17,incorrect,ministry,0,0.17,incorrect
['adela'],dr. smith,0,0.14,incorrect,complex,0,0.17,incorrect,complex,0,0.17,incorrect
['adela'],dr. langford,0,0.35,incorrect,era,0,0.5,incorrect,era,0,0.5,incorrect
['gore'],james,0,0.22,incorrect,skylight,0,0.17,incorrect,skylight,0,0.17,incorrect
['gore'],albert,0,0.2,incorrect,albert,0,0.2,incorrect,albert,0,0.2,incorrect
['gore'],holmes,0,0.4,incorrect,bridge,0,0.4,incorrect,bridge,0,0.4,incorrect
['gore'],thomas,0,0.2,incorrect,ministry,0,0.17,incorrect,ministry,0,0.17,incorrect
['ralph'],tom,0,0.0,incorrect,he,0,0.29,incorrect,he,0,0.29,incorrect
['ralph'],mark,0,0.22,incorrect,ministry,0,0.15,incorrect,ministry,0,0.15,incorrect
['negro'],ginger,0,0.55,incorrect,he,0,0.29,incorrect,he,0,0.29,incorrect
['black'],black,1,1.0,correct,she,0,0.0,incorrect,she,0,0.0,incorrect
['graham'],david,0,0.18,incorrect,cambodia,0,0.29,incorrect,cambodia,0,0.29,incorrect
['graham'],james,0,0.36,incorrect,dimples,0,0.15,incorrect,dimples,0,0.15,incorrect
['arthur'],mary,0,0.4,incorrect,brigadier,0,0.27,incorrect,brigadier,0,0.27,incorrect
['stokes'],cook,0,0.4,incorrect,cook,0,0.4,incorrect,cook,0,0.4,incorrect
['graham'],leonardo,0,0.14,incorrect,aristotle,0,0.13,incorrect,aristotle,0,0.13,incorrect
['graham'],john,0,0.2,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['graham'],michael,0,0.31,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect
['graham'],john,0,0.2,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect
['graham'],thirty-six,0,0.12,incorrect,hiroshima,0,0.4,incorrect,hiroshima,0,0.4,incorrect
['adela'],emily,0,0.4,incorrect,emma,0,0.44,incorrect,emma,0,0.44,incorrect
['adela'],emily,0,0.4,incorrect,skull,0,0.2,incorrect,skull,0,0.2,incorrect
['graham'],bridges,0,0.15,incorrect,bridges,0,0.15,incorrect,bridges,0,0.15,incorrect
['margaret'],emily,0,0.15,incorrect,alice,0,0.31,incorrect,alice,0,0.31,incorrect
['graham'],philip,0,0.17,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['margaret'],margaret,1,1.0,correct,she,0,0.18,incorrect,she,0,0.18,incorrect
['margaret'],mary,0,0.5,incorrect,brigadier,0,0.47,incorrect,brigadier,0,0.47,incorrect
['margaret'],jim,0,0.18,incorrect,william,0,0.13,incorrect,william,0,0.13,incorrect
['graham'],john,0,0.2,incorrect,john,0,0.2,incorrect,john,0,0.2,incorrect
['graham'],john,0,0.2,incorrect,smith,0,0.18,incorrect,smith,0,0.18,incorrect
['adela'],margaret,0,0.31,incorrect,ministry,0,0.0,incorrect,ministry,0,0.0,incorrect
['adela'],sarah,0,0.4,incorrect,god,0,0.25,incorrect,god,0,0.25,incorrect
['adela'],linda,0,0.4,incorrect,secretary,0,0.29,incorrect,secretary,0,0.29,incorrect
['graham'],michael,0,0.31,incorrect,he,0,0.25,incorrect,he,0,0.25,incorrect
['graham'],james,0,0.36,incorrect,grim,0,0.6,incorrect,grim,0,0.6,incorrect
['adela'],control,0,0.17,incorrect,control,0,0.17,incorrect,control,0,0.17,incorrect
['graham'],sherlock,0,0.14,incorrect,victorian,0,0.27,incorrect,victorian,0,0.27,incorrect
['graham'],england,0,0.31,incorrect,england,0,0.31,incorrect,england,0,0.31,incorrect
['graham'],john,0,0.2,incorrect,ministry,0,0.14,incorrect,ministry,0,0.14,incorrect
['margaret'],heckler,0,0.13,incorrect,rhubarb,0,0.4,incorrect,rhubarb,0,0.4,incorrect
